tof posE posN posU psiRads thetaRads velE velN velU mach speed specificForceX specificForceY specificForceZ tgtE tgtN tgtU
0.0720 0.1907 0.0000 0.2189 0.0000 0.8202 4.7343 0.0000 5.0757 0.0199 6.9409 83.9606 0.0000 -6.6751 3000.0000 0.0000 3000.0000
0.0740 0.2004 0.0000 0.2293 0.0000 0.8183 4.8587 0.0000 5.1895 0.0204 7.1090 84.0388 0.0000 -6.6889 3000.0000 0.0000 3000.0000
0.0760 0.2104 0.0000 0.2399 0.0000 0.8165 4.9835 0.0000 5.3032 0.0209 7.2773 84.1168 0.0000 -6.7024 3000.0000 0.0000 3000.0000
0.0780 0.2206 0.0000 0.2507 0.0000 0.8147 5.1086 0.0000 5.4167 0.0214 7.4457 84.1946 0.0000 -6.7156 3000.0000 0.0000 3000.0000
0.0800 0.2311 0.0000 0.2618 0.0000 0.8129 5.2340 0.0000 5.5301 0.0219 7.6142 84.2722 0.0000 -6.7285 3000.0000 0.0000 3000.0000
0.0820 0.2418 0.0000 0.2731 0.0000 0.8112 5.3598 0.0000 5.6433 0.0224 7.7829 84.3496 0.0000 -6.7411 3000.0000 0.0000 3000.0000
0.0840 0.2528 0.0000 0.2846 0.0000 0.8095 5.4858 0.0000 5.7564 0.0229 7.9518 84.4269 0.0000 -6.7534 3000.0000 0.0000 3000.0000
0.0860 0.2640 0.0000 0.2963 0.0000 0.8078 5.6122 0.0000 5.8695 0.0234 8.1208 84.5040 0.0000 -6.7655 3000.0000 0.0000 3000.0000
0.0880 0.2755 0.0000 0.3083 0.0000 0.8062 5.7389 0.0000 5.9824 0.0239 8.2900 84.5810 0.0000 -6.7773 3000.0000 0.0000 3000.0000
0.0900 0.2872 0.0000 0.3205 0.0000 0.8046 5.8659 0.0000 6.0951 0.0244 8.4593 84.6578 0.0000 -6.7889 3000.0000 0.0000 3000.0000
0.0920 0.2992 0.0000 0.3329 0.0000 0.8030 5.9933 0.0000 6.2078 0.0249 8.6288 84.7345 0.0000 -6.8002 3000.0000 0.0000 3000.0000
0.0940 0.3114 0.0000 0.3456 0.0000 0.8014 6.1209 0.0000 6.3204 0.0254 8.7984 84.8110 0.0000 -6.8113 3000.0000 0.0000 3000.0000
0.0960 0.3239 0.0000 0.3584 0.0000 0.7999 6.2488 0.0000 6.4329 0.0259 8.9682 84.8875 0.0000 -6.8223 3000.0000 0.0000 3000.0000
0.0980 0.3367 0.0000 0.3715 0.0000 0.7984 6.3770 0.0000 6.5452 0.0264 9.1382 84.9638 0.0000 -6.8330 3000.0000 0.0000 3000.0000
0.1000 0.3497 0.0000 0.3848 0.0000 0.7969 6.5055 0.0000 6.6575 0.0269 9.3082 85.0400 0.0000 -6.8435 3000.0000 0.0000 3000.0000
0.1020 0.3629 0.0000 0.3984 0.0000 0.7955 6.6342 0.0000 6.7697 0.0274 9.4785 85.1161 0.0000 -6.8538 3000.0000 0.0000 3000.0000
0.1040 0.3765 0.0000 0.4121 0.0000 0.7941 6.7633 0.0000 6.8817 0.0279 9.6489 85.1921 0.0000 -6.8639 3000.0000 0.0000 3000.0000
0.1060 0.3903 0.0000 0.4261 0.0000 0.7927 6.8927 0.0000 6.9937 0.0284 9.8194 85.2681 0.0000 -6.8739 3000.0000 0.0000 3000.0000
0.1080 0.4043 0.0000 0.4403 0.0000 0.7913 7.0223 0.0000 7.1056 0.0289 9.9901 85.3439 0.0000 -6.8837 3000.0000 0.0000 3000.0000
0.1100 0.4186 0.0000 0.4548 0.0000 0.7899 7.1522 0.0000 7.2175 0.0294 10.1610 85.4196 0.0000 -6.8933 3000.0000 0.0000 3000.0000
0.1120 0.4332 0.0000 0.4694 0.0000 0.7886 7.2823 0.0000 7.3292 0.0299 10.3320 85.4953 0.0000 -6.9028 3000.0000 0.0000 3000.0000
0.1140 0.4480 0.0000 0.4843 0.0000 0.7873 7.4128 0.0000 7.4409 0.0304 10.5031 85.5708 0.0000 -6.9121 3000.0000 0.0000 3000.0000
0.1160 0.4631 0.0000 0.4994 0.0000 0.7860 7.5435 0.0000 7.5524 0.0309 10.6744 85.6463 0.0000 -6.9212 3000.0000 0.0000 3000.0000
