tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.0100000000 0.0001639990 -0.0000596907 0.0099984770 -2000.0000000000 0.0000000000 3000.0000000000 0.0010714738 0.0000000000 FLYING
0.0200000000 0.0004414537 -0.0001606760 0.0259353794 -2000.0000000000 0.0000000000 3000.0000000000 0.0006268739 -0.0000000000 FLYING
0.0300000000 0.0009602523 -0.0003495032 0.0547593538 -2000.0000000000 0.0000000000 3000.0000000000 0.0003793758 0.0000000000 FLYING
0.0400000000 0.0018539362 -0.0006747776 0.1034469199 -2000.0000000000 0.0000000000 3000.0000000000 0.0002418864 0.0000000000 FLYING
0.0500000000 0.0032579795 -0.0011858076 0.1790026936 -2000.0000000000 0.0000000000 3000.0000000000 0.0002118745 0.0000000000 FLYING
0.0600000000 0.0047902081 -0.0017434932 0.2605821147 -2000.0000000000 0.0000000000 3000.0000000000 0.0001482350 0.0000000000 FLYING
0.0700000000 0.0069785098 -0.0025399699 0.3762343307 -2000.0000000000 0.0000000000 3000.0000000000 0.0000988419 0.0000000000 FLYING
0.0800000000 0.0098286975 -0.0035773533 0.5261312498 -2000.0000000000 0.0000000000 3000.0000000000 0.0000627593 -0.0000000000 FLYING
0.0900000000 0.0133441738 -0.0048568821 0.7104450925 -2000.0000000000 0.0000000000 3000.0000000000 0.0000337935 -0.0000000000 FLYING
0.1000000000 0.0175263399 -0.0063790660 0.9293483828 -2000.0000000000 0.0000000000 3000.0000000000 0.0000090681 -0.0000000000 FLYING
0.1100000000 0.0223748045 -0.0081437628 1.1830139425 -2000.0000000000 0.0000000000 3000.0000000000 -0.0000129356 -0.0000000000 FLYING
0.1200000000 0.0278875009 -0.0101502202 1.4716148885 -2000.0000000000 0.0000000000 3000.0000000000 -0.0000330963 -0.0000000000 FLYING
0.1300000000 0.0340607546 -0.0123971008 1.7953246299 -2000.0000000000 0.0000000000 3000.0000000000 -0.0000519572 -0.0000000000 FLYING
0.1400000000 0.0408893228 -0.0148824964 2.1543168665 -2000.0000000000 0.0000000000 3000.0000000000 -0.0000698730 -0.0000000000 FLYING
0.1500000000 0.0483664164 -0.0176039359 2.5487655865 -2000.0000000000 0.0000000000 3000.0000000000 -0.0000870848 -0.0000000000 FLYING
