tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.3800000000 0.3695126138 -0.1470767977 21.7983626386 -3500.0000000000 0.0000000000 3000.0000000000 -0.0003406097 -0.0001654916 FLYING
0.3900000000 0.3873065946 -0.1557933458 23.0928556686 -3500.0000000000 0.0000000000 3000.0000000000 -0.0003506635 -0.0001747312 FLYING
0.4000000000 0.4051169118 -0.1647774232 24.4265572515 -3500.0000000000 0.0000000000 3000.0000000000 -0.0003604126 -0.0001845381 FLYING
0.4100000000 0.4228964280 -0.1740297818 25.7995916046 -3500.0000000000 0.0000000000 3000.0000000000 -0.0003698109 -0.0001949688 FLYING
0.4200000000 0.4405962735 -0.1835511615 27.2120831760 -3500.0000000000 0.0000000000 3000.0000000000 -0.0003788037 -0.0002060864 FLYING
0.4300000000 0.4581658300 -0.1933422898 28.6641566414 -3500.0000000000 0.0000000000 3000.0000000000 -0.0003873253 -0.0002179612 FLYING
0.4400000000 0.4755527129 -0.2034038824 30.1559369009 -3500.0000000000 0.0000000000 3000.0000000000 -0.0003952971 -0.0002306716 FLYING
0.4500000000 0.4927027536 -0.2137366439 31.6875490749 -3500.0000000000 0.0000000000 3000.0000000000 -0.0004026244 -0.0002443051 FLYING
0.4600000000 0.5095599823 -0.2243412673 33.2591185009 -3500.0000000000 0.0000000000 3000.0000000000 -0.0004091934 -0.0002589583 FLYING
0.4700000000 0.5260666096 -0.2352184352 34.8707707293 -3500.0000000000 0.0000000000 3000.0000000000 -0.0004148662 -0.0002747381 FLYING
0.4800000000 0.5421630085 -0.2463688200 36.5226315192 -3500.0000000000 0.0000000000 3000.0000000000 -0.0004194754 -0.0002917616 FLYING
0.4900000000 0.5577876961 -0.2577930843 38.2148268345 -3500.0000000000 0.0000000000 3000.0000000000 -0.0004228179 -0.0003101556 FLYING
0.5000000000 0.5728773147 -0.2694918820 39.9474828395 -3500.0000000000 0.0000000000 3000.0000000000 -0.0004246459 -0.0003300547 FLYING
0.5100000000 0.5873666132 -0.2814658591 41.7207258939 -3500.0000000000 0.0000000000 3000.0000000000 -0.0004246575 -0.0003515981 FLYING
0.5200000000 0.6011884278 -0.2937156545 43.5346825485 -3500.0000000000 0.0000000000 3000.0000000000 -0.0004224847 -0.0003749235 FLYING
0.5300000000 0.6142736628 -0.3062419012 45.3894795401 -3500.0000000000 0.0000000000 3000.0000000000 -0.0004176805 -0.0004001565 FLYING
0.5400000000 0.6265512703 -0.3190452281 47.2852437866 -3500.0000000000 0.0000000000 3000.0000000000 -0.0004097076 -0.0004273960 FLYING
0.5500000000 0.6379481600 -0.3321261872 49.2220914332 -3500.0000000000 0.0000000000 3000.0000000000 -0.0003979253 -0.0004566903 FLYING
0.5600000000 0.6483890173 -0.3454850332 51.2000949070 -3500.0000000000 0.0000000000 3000.0000000000 -0.0003815591 -0.0004879712 FLYING
0.5700000000 0.6577966494 -0.3591220201 53.2193266469 -3500.0000000000 0.0000000000 3000.0000000000 -0.0003597506 -0.0005210464 FLYING
0.5800000000 0.6660919715 -0.3730374029 55.2798590974 -3500.0000000000 0.0000000000 3000.0000000000 -0.0003315633 -0.0005555140 FLYING
0.5900000000 0.6731939921 -0.3872314211 57.3817622868 -3500.0000000000 0.0000000000 3000.0000000000 -0.0002960532 -0.0005906927 FLYING
0.6000000000 0.6790198073 -0.4017042931 59.5251030078 -3500.0000000000 0.0000000000 3000.0000000000 -0.0002523889 -0.0006255585 FLYING
0.6100000000 0.6834845960 -0.4164562285 61.7099475681 -3500.0000000000 0.0000000000 3000.0000000000 -0.0002000243 -0.0006587094 FLYING
0.6200000000 0.6865016097 -0.4314874210 63.9363617669 -3500.0000000000 0.0000000000 3000.0000000000 -0.0001389231 -0.0006884180 FLYING
0.6300000000 0.6879821651 -0.4467980370 66.2044108700 -3500.0000000000 0.0000000000 3000.0000000000 -0.0000697736 -0.0007128032 FLYING
0.6400000000 0.6878356397 -0.4623882035 68.5141595857 -3500.0000000000 0.0000000000 3000.0000000000 0.0000058986 -0.0007301260 FLYING
0.6500000000 0.6859694706 -0.4782579984 70.8656720396 -3500.0000000000 0.0000000000 3000.0000000000 0.0000371787 -0.0007391475 FLYING
0.6600000000 0.6823027468 -0.4942918510 73.2590125402 -3500.0000000000 0.0000000000 3000.0000000000 0.0001681119 -0.0007392789 FLYING
0.6700000000 0.6767255226 -0.5106040923 75.6942431953 -3500.0000000000 0.0000000000 3000.0000000000 0.0002484742 -0.0007310211 FLYING
0.6800000000 0.6691395431 -0.5271939298 78.1714262373 -3500.0000000000 0.0000000000 3000.0000000000 0.0003255162 -0.0007155642 FLYING
0.6900000000 0.6594444340 -0.5440612908 80.6906232033 -3500.0000000000 0.0000000000 3000.0000000000 0.0003972995 -0.0006945843 FLYING
0.7000000000 0.6475378340 -0.5612060888 83.2518949163 -3500.0000000000 0.0000000000 3000.0000000000 0.0004629785 -0.0006698480 FLYING
0.7100000000 0.6333153737 -0.5786282322 85.8553014581 -3500.0000000000 0.0000000000 3000.0000000000 0.0005223590 -0.0006429582 FLYING
0.7200000000 0.6166706598 -0.5963276245 88.5009021411 -3500.0000000000 0.0000000000 3000.0000000000 0.0005757055 -0.0006152145 FLYING
0.7300000000 0.5974952619 -0.6143041604 91.1887554798 -3500.0000000000 0.0000000000 3000.0000000000 0.0006235497 -0.0005875796 FLYING
0.7400000000 0.5756787031 -0.6325577212 93.9189191630 -3500.0000000000 0.0000000000 3000.0000000000 0.0006665399 -0.0005607103 FLYING
0.7500000000 0.5511084515 -0.6510881712 96.6914500237 -3500.0000000000 0.0000000000 3000.0000000000 0.0007053419 -0.0005350169 FLYING
0.7600000000 0.5236699140 -0.6698953548 99.5064040105 -3500.0000000000 0.0000000000 3000.0000000000 0.0007405813 -0.0005107265 FLYING
0.7700000000 0.4932464292 -0.6889790947 102.3638361573 -3500.0000000000 0.0000000000 3000.0000000000 0.0007728171 -0.0004879377 FLYING
0.7800000000 0.4597192615 -0.7083391912 105.2638005530 -3500.0000000000 0.0000000000 3000.0000000000 0.0008025305 -0.0004666622 FLYING
0.7900000000 0.4229676257 -0.7279754102 108.2063485166 -3500.0000000000 0.0000000000 3000.0000000000 0.0008301211 -0.0004468541 FLYING
0.8000000000 0.3828688142 -0.7478874398 111.1915218159 -3500.0000000000 0.0000000000 3000.0000000000 0.0008559412 -0.0004284485 FLYING
0.8100000000 0.3392980802 -0.7680749413 114.2193605369 -3500.0000000000 0.0000000000 3000.0000000000 0.0008802812 -0.0004113594 FLYING
0.8200000000 0.2921288275 -0.7885374594 117.2898896677 -3500.0000000000 0.0000000000 3000.0000000000 0.0009033803 -0.0003954922 FLYING
0.8300000000 0.2412329473 -0.8092743041 120.4031011360 -3500.0000000000 0.0000000000 3000.0000000000 0.0009254160 -0.0003807429 FLYING
0.8400000000 0.1864804684 -0.8302847579 123.5589849303 -3500.0000000000 0.0000000000 3000.0000000000 0.0009465509 -0.0003670201 FLYING
0.8500000000 0.1277395629 -0.8515680771 126.7575290567 -3500.0000000000 0.0000000000 3000.0000000000 0.0009669198 -0.0003542375 FLYING
0.8600000000 0.0648765533 -0.8731234909 129.9987194963 -3500.0000000000 0.0000000000 3000.0000000000 0.0009866125 -0.0003423053 FLYING
0.8700000000 -0.0022440011 -0.8949502064 133.2825401687 -3500.0000000000 0.0000000000 3000.0000000000 0.0010056571 -0.0003311257 FLYING
0.8800000000 -0.0737590601 -0.9170474217 136.6089729108 -3500.0000000000 0.0000000000 3000.0000000000 0.0010242132 -0.0003206676 FLYING
