tof posE posN posU tgtE tgtN tgtU normAch pitchRate thetaRate alpha theta sideAch yawRate psiRate beta psi rollAngleComm rollRate phiRate phi
0.0170000000 0.0167526557 0.0005850156 0.0152619528 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070755986 -0.0000006866 -0.0000006866 0.0605532493 0.7853981600 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0180000000 0.0182962111 0.0006389178 0.0166298725 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070716676 -0.0000007983 -0.0000007983 0.0606622931 0.7853981593 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0190000000 0.0199328773 0.0006960714 0.0180811503 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070673656 -0.0000009240 -0.0000009240 0.0605547789 0.7853981584 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0200000000 0.0216675744 0.0007566484 0.0196207093 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070626701 -0.0000010652 -0.0000010652 0.0602667057 0.7853981574 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0210000000 0.0235052246 0.0008208205 0.0212534749 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070575589 -0.0000012236 -0.0000012236 0.0598297740 0.7853981563 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0220000000 0.0254507522 0.0008887599 0.0229843744 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070520102 -0.0000014011 -0.0000014011 0.0592715847 0.7853981550 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0230000000 0.0275090833 0.0009606384 0.0248183369 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070460025 -0.0000015997 -0.0000015997 0.0586159426 0.7853981535 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0240000000 0.0296851460 0.0010366281 0.0267602938 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070395146 -0.0000018216 -0.0000018216 0.0578832135 0.7853981518 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 -0.0000000000 -0.0000000000 -0.0000000000
0.0250000000 0.0319838704 0.0011169014 0.0288151782 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070325260 -0.0000020690 -0.0000020690 0.0570906993 0.7853981498 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 -0.0000000000
0.0260000000 0.0344101886 0.0012016303 0.0309879253 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070250164 -0.0000023445 -0.0000023445 0.0562530072 0.7853981476 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 -0.0000000000
0.0270000000 0.0369690348 0.0012909871 0.0332834724 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070169660 -0.0000026506 -0.0000026506 0.0553823991 0.7853981451 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 -0.0000000000
0.0280000000 0.0396653449 0.0013851444 0.0357067585 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7070083557 -0.0000029902 -0.0000029902 0.0544891118 0.7853981423 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 -0.0000000000
0.0290000000 0.0425040570 0.0014842744 0.0382627250 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7069991668 -0.0000033662 -0.0000033662 0.0535816457 0.7853981391 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0300000000 0.0454901111 0.0015885497 0.0409563148 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7069893813 -0.0000037819 -0.0000037819 0.0526670206 0.7853981355 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0310000000 0.0486284492 0.0016981429 0.0437924733 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7069788614 -0.0000042389 -0.0000042389 0.0517509989 0.7853981315 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0320000000 0.0519240152 0.0018132266 0.0467761475 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7069676172 -0.0000047378 -0.0000047378 0.0508382800 0.7853981270 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0330000000 0.0553817553 0.0019339735 0.0499122866 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7069556821 -0.0000052806 -0.0000052806 0.0499326675 0.7853981220 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0340000000 0.0590066172 0.0020605565 0.0532058417 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7069430356 -0.0000058699 -0.0000058699 0.0490372126 0.7853981165 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0350000000 0.0628035510 0.0021931483 0.0566617660 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7069296576 -0.0000065087 -0.0000065087 0.0481543355 0.7853981103 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0360000000 0.0667775086 0.0023319220 0.0602850146 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7069155287 -0.0000071997 -0.0000071997 0.0472859299 0.7853981034 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0370000000 0.0709334439 0.0024770504 0.0640805447 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7069006301 -0.0000079462 -0.0000079462 0.0464334498 0.7853980958 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0380000000 0.0752763128 0.0026287068 0.0680533154 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7068849433 -0.0000087511 -0.0000087511 0.0455979844 0.7853980875 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0390000000 0.0798110732 0.0027870641 0.0722082879 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7068684506 -0.0000096177 -0.0000096177 0.0447803200 0.7853980783 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0400000000 0.0845426850 0.0029522956 0.0765504252 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7068511347 -0.0000105493 -0.0000105493 0.0439809932 0.7853980682 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0410000000 0.0894761100 0.0031245746 0.0810846926 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7068329791 -0.0000115492 -0.0000115492 0.0432003343 0.7853980572 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0420000000 0.0946163123 0.0033040744 0.0858160573 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7068139678 -0.0000126210 -0.0000126210 0.0424385053 0.7853980451 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0430000000 0.0999682575 0.0034909685 0.0907494882 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7067940858 -0.0000137682 -0.0000137682 0.0416955301 0.7853980319 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0440000000 0.1055369136 0.0036854302 0.0958899568 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7067733185 -0.0000149945 -0.0000149945 0.0409713214 0.7853980175 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0450000000 0.1113272505 0.0038876333 0.1012424360 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7067516525 -0.0000163037 -0.0000163037 0.0402657018 0.7853980019 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0460000000 0.1173442399 0.0040977512 0.1068119012 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7067290749 -0.0000176996 -0.0000176996 0.0395784221 0.7853979849 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0470000000 0.1235928558 0.0043159576 0.1126033294 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7067055739 -0.0000191862 -0.0000191862 0.0389091767 0.7853979664 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0480000000 0.1300780739 0.0045424264 0.1186217000 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7066811384 -0.0000207674 -0.0000207674 0.0382576163 0.7853979464 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
