tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.3900000000 15.5706950102 -0.0083965920 17.2920919479 7000.0000000000 0.0000000000 3000.0000000000 0.0007225582 -0.0000428519 FLYING
0.4000000000 16.4809177812 -0.0094182193 18.2800265523 7000.0000000000 0.0000000000 3000.0000000000 0.0007155231 -0.0000441460 FLYING
0.4100000000 17.4186926674 -0.0105318210 19.2964053237 7000.0000000000 0.0000000000 3000.0000000000 0.0007092157 -0.0000454410 FLYING
0.4200000000 18.3841386805 -0.0117429276 20.3412868167 7000.0000000000 0.0000000000 3000.0000000000 0.0007035810 -0.0000467370 FLYING
0.4300000000 19.3773753319 -0.0130572474 21.4147293962 7000.0000000000 0.0000000000 3000.0000000000 0.0006985693 -0.0000480337 FLYING
0.4400000000 20.3985226538 -0.0144806678 22.5167912168 7000.0000000000 0.0000000000 3000.0000000000 0.0006941356 -0.0000493311 FLYING
0.4500000000 21.4477012175 -0.0160192560 23.6475302040 7000.0000000000 0.0000000000 3000.0000000000 0.0006902394 -0.0000506291 FLYING
0.4600000000 22.5250321523 -0.0176792609 24.8070040358 7000.0000000000 0.0000000000 3000.0000000000 0.0006868438 -0.0000519276 FLYING
0.4700000000 23.6306371615 -0.0194671140 25.9952701256 7000.0000000000 0.0000000000 3000.0000000000 0.0006839152 -0.0000532265 FLYING
0.4800000000 24.7646385388 -0.0213894302 27.2123856055 7000.0000000000 0.0000000000 3000.0000000000 0.0006814231 -0.0000545256 FLYING
0.4900000000 25.9271591834 -0.0234530095 28.4584073107 7000.0000000000 0.0000000000 3000.0000000000 0.0006793395 -0.0000558250 FLYING
0.5000000000 27.1183226135 -0.0256648380 29.7333917640 7000.0000000000 0.0000000000 3000.0000000000 0.0006776387 -0.0000571244 FLYING
0.5100000000 28.3382529804 -0.0280320891 31.0373951619 7000.0000000000 0.0000000000 3000.0000000000 0.0006762974 -0.0000584238 FLYING
0.5200000000 29.5870750807 -0.0305621242 32.3704733601 7000.0000000000 0.0000000000 3000.0000000000 0.0006752938 -0.0000597232 FLYING
0.5300000000 30.8649143685 -0.0332624944 33.7326818601 7000.0000000000 0.0000000000 3000.0000000000 0.0006746082 -0.0000610223 FLYING
0.5400000000 32.1718969670 -0.0361409415 35.1240757961 7000.0000000000 0.0000000000 3000.0000000000 0.0006742260 -0.0000623214 FLYING
0.5500000000 33.5081421831 -0.0392053822 36.5447019425 7000.0000000000 0.0000000000 3000.0000000000 0.0006741407 -0.0000636211 FLYING
0.5600000000 34.8737399265 -0.0424638543 37.9945747272 7000.0000000000 0.0000000000 3000.0000000000 0.0006743206 -0.0000649185 FLYING
0.5700000000 36.2687806211 -0.0459245747 39.4737081401 7000.0000000000 0.0000000000 3000.0000000000 0.0006747505 -0.0000662135 FLYING
0.5800000000 37.6933552126 -0.0495959397 40.9821157237 7000.0000000000 0.0000000000 3000.0000000000 0.0006754093 -0.0000675052 FLYING
0.5900000000 39.1475522123 -0.0534865158 42.5198074497 7000.0000000000 0.0000000000 3000.0000000000 0.0006762883 -0.0000687939 FLYING
0.6000000000 40.6314595988 -0.0576050447 44.0867917167 7000.0000000000 0.0000000000 3000.0000000000 0.0006773765 -0.0000700796 FLYING
0.6100000000 42.1451655489 -0.0619604453 45.6830761076 7000.0000000000 0.0000000000 3000.0000000000 0.0006786623 -0.0000713621 FLYING
0.6200000000 43.6887584299 -0.0665618134 47.3086673697 7000.0000000000 0.0000000000 3000.0000000000 0.0006801349 -0.0000726415 FLYING
0.6300000000 45.2623267912 -0.0714184219 48.9635713950 7000.0000000000 0.0000000000 3000.0000000000 0.0006817841 -0.0000739175 FLYING
0.6400000000 46.8659593555 -0.0765397205 50.6477932000 7000.0000000000 0.0000000000 3000.0000000000 0.0006836006 -0.0000751900 FLYING
0.6500000000 48.4997450091 -0.0819353354 52.3613369069 7000.0000000000 0.0000000000 3000.0000000000 0.0006855756 -0.0000764590 FLYING
0.6600000000 50.1637727921 -0.0876150692 54.1042057234 7000.0000000000 0.0000000000 3000.0000000000 0.0006877006 -0.0000777243 FLYING
0.6700000000 51.8581318874 -0.0935889005 55.8764019244 7000.0000000000 0.0000000000 3000.0000000000 0.0006899680 -0.0000789857 FLYING
0.6800000000 53.5829116102 -0.0998669837 57.6779268322 7000.0000000000 0.0000000000 3000.0000000000 0.0006923704 -0.0000802433 FLYING
0.6900000000 55.3382013960 -0.1064596484 59.5087807976 7000.0000000000 0.0000000000 3000.0000000000 0.0006949010 -0.0000814968 FLYING
0.7000000000 57.1240907886 -0.1133773993 61.3689631812 7000.0000000000 0.0000000000 3000.0000000000 0.0006975533 -0.0000827461 FLYING
0.7100000000 58.9406694278 -0.1206309157 63.2584723345 7000.0000000000 0.0000000000 3000.0000000000 0.0007003212 -0.0000839911 FLYING
0.7200000000 60.7880270358 -0.1282310506 65.1773055814 7000.0000000000 0.0000000000 3000.0000000000 0.0007031990 -0.0000852317 FLYING
0.7300000000 62.6662534044 -0.1361888308 67.1254591990 7000.0000000000 0.0000000000 3000.0000000000 0.0007061810 -0.0000864679 FLYING
0.7400000000 64.5754383805 -0.1445154560 69.1029283998 7000.0000000000 0.0000000000 3000.0000000000 0.0007092623 -0.0000876993 FLYING
0.7500000000 66.5156718519 -0.1532222980 71.1097073127 7000.0000000000 0.0000000000 3000.0000000000 0.0007124380 -0.0000889260 FLYING
0.7600000000 68.4870437328 -0.1623209004 73.1457889650 7000.0000000000 0.0000000000 3000.0000000000 0.0007157033 -0.0000901479 FLYING
0.7700000000 70.4896439479 -0.1718229777 75.2111652637 7000.0000000000 0.0000000000 3000.0000000000 0.0007190539 -0.0000913647 FLYING
0.7800000000 72.5235624173 -0.1817404147 77.3058269777 7000.0000000000 0.0000000000 3000.0000000000 0.0007224770 -0.0000925752 FLYING
0.7900000000 74.5888845373 -0.1920852393 79.4297591258 7000.0000000000 0.0000000000 3000.0000000000 0.0007259710 -0.0000937796 FLYING
0.8000000000 76.6856926766 -0.2028696280 81.5829425295 7000.0000000000 0.0000000000 3000.0000000000 0.0007295369 -0.0000949782 FLYING
0.8100000000 78.8140686675 -0.2141059176 83.7653563668 7000.0000000000 0.0000000000 3000.0000000000 0.0007331742 -0.0000961712 FLYING
0.8200000000 80.9740844431 -0.2258065546 85.9769685743 7000.0000000000 0.0000000000 3000.0000000000 0.0007368826 -0.0000973589 FLYING
0.8300000000 83.1657894580 -0.2379840196 88.2177230318 7000.0000000000 0.0000000000 3000.0000000000 0.0007406474 -0.0000985389 FLYING
0.8400000000 85.3892323764 -0.2506509301 90.4875618909 7000.0000000000 0.0000000000 3000.0000000000 0.0007444649 -0.0000997111 FLYING
