tof posE posN posU tgtE tgtN tgtU normComm normAch sideComm sideAch
0.0 0.0 0.0 10.0 3000.0 3000.0 3000.0 0.0 0.0 0.0 0.0
0.005 0.05492313022133814 0.046085978311826536 10.102394005536125 3000.25 3000.25 3000.0 -2.1350712708090747 -0.0 0.17198783955354335 -0.0
0.01 0.11467996755780013 0.09622791848117249 10.213553916823091 3000.5 3000.5 3000.0 -2.1464916856293557 -7.242770435465987e-07 0.17706348262829646 5.834317835705507e-08
0.015 0.17927763934571334 0.15043179965271888 10.333473097422909 3000.75 3000.75 3000.0 -2.1598580324118486 -4.17119057275373e-06 0.18224170056357236 3.376470611178922e-07
0.02 0.2487227744240618 0.20870317842440045 10.462145346419412 3001.0 3001.0 3000.0 -2.1753680848086794 -1.22637250060221e-05 0.1875524456228246 9.991075436278272e-07
0.025 0.32302158326403313 0.27104725462232027 10.59956482816664 3001.25 3001.25 3000.0 -2.1932097839554126 -2.625856498990968e-05 0.19302584013280338 2.155095255003177e-06
0.030000000000000002 0.40217991429887534 0.33746891864209494 10.745726022548936 3001.5 3001.5 3000.0 -2.2135615079991604 -4.742258513586024e-05 0.19869184084465438 3.922463276747437e-06
0.035 0.486203299435473 0.40797278978743307 10.900623684699108 3001.75 3001.75 3000.0 -2.236591059594549 -7.70907570862677e-05 0.20458000315211677 6.427357456076766e-06
0.04 0.5750969917529268 0.4825632480282781 11.064252811573741 3002.0 3002.0 3000.0 -2.2624545547594965 -0.00011666743730007803 0.21071925228145102 9.805581189633624e-06
0.045 0.668865997094362 0.5612444606115992 11.236608613897827 3002.25 3002.25 3000.0 -2.291295384449125 -0.0001676252215473171 0.21713766147945224 1.4202771121952347e-05
0.049999999999999996 0.7675151008026598 0.644020404578344 11.417686492385835 3002.5 3002.5 3000.0 -2.3232433230126652 -0.00023150474924357297 0.2238622441097029 1.9774655055997385e-05
0.05499999999999999 0.8710488905502977 0.7308948859864036 11.607482017407767 3002.75 3002.75 3000.0 -2.3584138373661787 -0.00030991551537849196 0.2309187662542887 2.668740157608386e-05
0.05999999999999999 0.9794717759958645 0.8218715564558245 11.805990911458231 3003.0 3003.0 3000.0 -2.396907634427084 -0.00040453760874068986 0.23833158540677932 3.511805931427104e-05
0.06499999999999999 1.0927880058389854 0.9169539275169458 12.013209033926849 3003.25 3003.25 3000.0 -2.4388104681226745 -0.0005171243067383536 0.24612351952421313 4.525508410192046e-05
0.06999999999999999 1.2110016827248127 1.0161453831406233 12.229132367773575 3003.5 3003.5 3000.0 -2.4841932115020238 -0.0006495054183768336 0.2543157491838141 5.729894817422351e-05
0.075 1.3341167763576884 1.1194491907526758 12.45375700779255 3003.75 3003.75 3000.0 -2.5331121849486355 -0.000803591308902283 0.26292775398214235 7.1462828466617e-05
0.08 1.4621371351132213 1.2268685109755482 12.687079150209676 3004.0 3004.0 3000.0 -2.585609719016402 -0.0009813775285532832 0.27197728274658617 8.797336945120644e-05
0.085 1.595066496383368 1.3384064062942742 12.929095083406981 3004.25 3004.25 3000.0 -2.641714920637119 -0.0011849499863136428 0.2814803557175291 0.00010707151699927428
0.09000000000000001 1.7329084958462222 1.4540658488078275 13.179801179604477 3004.5 3004.5 3000.0 -2.701444604752476 -0.0014164905497897915 0.2914512956953782 0.00012901341382473398
0.09500000000000001 1.8756666758182474 1.5738497271984566 13.439193887360005 3004.75 3004.75 3000.0 -2.764804349883514 -0.0016782830496708387 0.3019027842875092 0.0001540713552056012
0.10000000000000002 2.023344492819567 1.6977608530288602 13.707269724771443 3005.0 3005.0 3000.0 -2.8317896355582617 -0.0019727196047293837 0.3128459388577218 0.00018253479770276404
