TOF RNG ALT THETA RATE ALPHA ALPHADOT RATEDOT WDOT
0.6400 768.0000 9993.5249 -0.0066 -0.0296 0.0102 -0.0022 -0.0728 0.1138
0.6500 780.0000 9993.3195 -0.0069 -0.0303 0.0102 -0.0029 -0.0726 0.1135
0.6600 792.0000 9993.1109 -0.0072 -0.0311 0.0102 -0.0036 -0.0724 0.1132
0.6700 804.0000 9992.8990 -0.0075 -0.0318 0.0101 -0.0044 -0.0721 0.1128
0.6800 816.0000 9992.6840 -0.0078 -0.0325 0.0101 -0.0051 -0.0718 0.1123
0.6900 828.0000 9992.4657 -0.0082 -0.0332 0.0100 -0.0058 -0.0715 0.1117
0.7000 840.0000 9992.2443 -0.0085 -0.0339 0.0100 -0.0065 -0.0710 0.1110
0.7100 852.0000 9992.0196 -0.0088 -0.0346 0.0099 -0.0072 -0.0706 0.1102
0.7200 864.0000 9991.7918 -0.0092 -0.0353 0.0098 -0.0079 -0.0700 0.1094
0.7300 876.0000 9991.5607 -0.0095 -0.0360 0.0097 -0.0086 -0.0695 0.1085
0.7400 888.0000 9991.3264 -0.0099 -0.0367 0.0096 -0.0093 -0.0688 0.1075
0.7500 900.0000 9991.0889 -0.0103 -0.0374 0.0095 -0.0100 -0.0682 0.1064
0.7600 912.0000 9990.8483 -0.0106 -0.0381 0.0094 -0.0107 -0.0674 0.1052
0.7700 924.0000 9990.6044 -0.0110 -0.0387 0.0093 -0.0114 -0.0667 0.1040
0.7800 936.0000 9990.3573 -0.0114 -0.0394 0.0092 -0.0120 -0.0659 0.1027
0.7900 948.0000 9990.1070 -0.0118 -0.0401 0.0091 -0.0127 -0.0650 0.1013
0.8000 960.0000 9989.8534 -0.0122 -0.0407 0.0089 -0.0133 -0.0641 0.0998
0.8100 972.0000 9989.5967 -0.0126 -0.0413 0.0088 -0.0140 -0.0631 0.0983
0.8200 984.0000 9989.3368 -0.0130 -0.0419 0.0086 -0.0146 -0.0621 0.0966
0.8300 996.0000 9989.0737 -0.0134 -0.0426 0.0085 -0.0152 -0.0611 0.0950
0.8400 1008.0001 9988.8073 -0.0139 -0.0432 0.0083 -0.0158 -0.0600 0.0932
0.8500 1020.0001 9988.5378 -0.0143 -0.0437 0.0082 -0.0164 -0.0588 0.0914
0.8600 1032.0001 9988.2650 -0.0147 -0.0443 0.0080 -0.0170 -0.0576 0.0895
0.8700 1044.0001 9987.9890 -0.0152 -0.0449 0.0078 -0.0176 -0.0564 0.0876
0.8800 1056.0001 9987.7099 -0.0156 -0.0454 0.0076 -0.0182 -0.0552 0.0855
0.8900 1068.0001 9987.4275 -0.0161 -0.0460 0.0074 -0.0187 -0.0539 0.0835
0.9000 1080.0001 9987.1419 -0.0165 -0.0465 0.0073 -0.0193 -0.0525 0.0814
0.9100 1092.0001 9986.8531 -0.0170 -0.0470 0.0071 -0.0198 -0.0511 0.0792
0.9200 1104.0001 9986.5611 -0.0175 -0.0475 0.0069 -0.0203 -0.0497 0.0769
0.9300 1116.0001 9986.2659 -0.0180 -0.0480 0.0066 -0.0208 -0.0483 0.0746
0.9400 1128.0001 9985.9674 -0.0184 -0.0485 0.0064 -0.0213 -0.0468 0.0723
0.9500 1140.0001 9985.6658 -0.0189 -0.0489 0.0062 -0.0217 -0.0453 0.0699
0.9600 1152.0001 9985.3610 -0.0194 -0.0494 0.0060 -0.0222 -0.0437 0.0675
0.9700 1164.0001 9985.0529 -0.0199 -0.0498 0.0058 -0.0226 -0.0422 0.0650
0.9800 1176.0001 9984.7416 -0.0204 -0.0502 0.0055 -0.0230 -0.0406 0.0624
0.9900 1188.0001 9984.4272 -0.0209 -0.0506 0.0053 -0.0234 -0.0389 0.0599
1.0000 1200.0001 9984.1095 -0.0214 -0.0509 0.0051 -0.0238 -0.0373 0.0573
1.0100 1212.0001 9983.7886 -0.0219 -0.0513 0.0048 -0.0242 -0.0356 0.0546
1.0200 1224.0001 9983.4645 -0.0224 -0.0516 0.0046 -0.0246 -0.0338 0.0519
1.0300 1236.0001 9983.1371 -0.0229 -0.0520 0.0043 -0.0249 -0.0321 0.0492
1.0400 1248.0001 9982.8066 -0.0235 -0.0523 0.0041 -0.0252 -0.0303 0.0465
1.0500 1260.0001 9982.4728 -0.0240 -0.0525 0.0038 -0.0255 -0.0286 0.0437
1.0600 1272.0002 9982.1359 -0.0245 -0.0528 0.0036 -0.0258 -0.0268 0.0409
1.0700 1284.0002 9981.7957 -0.0250 -0.0531 0.0033 -0.0261 -0.0249 0.0381
1.0800 1296.0002 9981.4523 -0.0256 -0.0533 0.0030 -0.0263 -0.0231 0.0353
1.0900 1308.0002 9981.1057 -0.0261 -0.0535 0.0028 -0.0265 -0.0213 0.0324
1.1000 1320.0002 9980.7559 -0.0266 -0.0537 0.0025 -0.0267 -0.0194 0.0295
1.1100 1332.0002 9980.4029 -0.0272 -0.0539 0.0022 -0.0269 -0.0175 0.0267
1.1200 1344.0002 9980.0466 -0.0277 -0.0540 0.0020 -0.0271 -0.0156 0.0238
1.1300 1356.0002 9979.6872 -0.0283 -0.0542 0.0017 -0.0273 -0.0137 0.0208
1.1400 1368.0002 9979.3245 -0.0288 -0.0543 0.0014 -0.0274 -0.0118 0.0179
1.1500 1380.0002 9978.9586 -0.0293 -0.0544 0.0011 -0.0275 -0.0099 0.0150
1.1600 1392.0002 9978.5895 -0.0299 -0.0545 0.0009 -0.0276 -0.0080 0.0121
