TOF EAST NORTH UP EAST_V NORTH_V UP_V EAST_A NORTH_A UP_A
4.154 2505.35 2705.89 2052.25 453.281 745.54 570.269 -21.4234 -4.01787 22.2812
4.155 2505.81 2706.64 2052.82 453.259 745.536 570.292 -21.4217 -4.02145 22.2828
4.156 2506.26 2707.38 2053.39 453.238 745.532 570.314 -21.4199 -4.02503 22.2844
4.157 2506.71 2708.13 2053.96 453.216 745.528 570.336 -21.4182 -4.02861 22.286
4.158 2507.17 2708.87 2054.53 453.195 745.524 570.359 -21.4164 -4.03218 22.2875
4.159 2507.62 2709.62 2055.1 453.174 745.52 570.381 -21.4147 -4.03575 22.2891
4.16 2508.07 2710.36 2055.67 453.152 745.515 570.403 -21.4129 -4.03931 22.2907
4.161 2508.53 2711.11 2056.24 453.131 745.511 570.425 -21.4112 -4.04287 22.2923
4.162 2508.98 2711.86 2056.82 453.109 745.507 570.448 -21.4095 -4.04643 22.2939
4.163 2509.43 2712.6 2057.39 453.088 745.503 570.47 -21.4078 -4.04998 22.2954
4.164 2509.89 2713.35 2057.96 453.067 745.499 570.492 -21.4061 -4.05353 22.297
4.165 2510.34 2714.09 2058.53 453.045 745.495 570.515 -21.4044 -4.05708 22.2986
4.166 2510.79 2714.84 2059.1 453.024 745.491 570.537 -21.4027 -4.06062 22.3002
4.167 2511.24 2715.58 2059.67 453.002 745.487 570.559 -21.401 -4.06417 22.3018
4.168 2511.7 2716.33 2060.24 452.981 745.483 570.582 -21.3993 -4.0677 22.3033
4.169 2512.15 2717.07 2060.81 452.96 745.479 570.604 -21.3976 -4.07124 22.3049
4.17 2512.6 2717.82 2061.38 452.938 745.475 570.626 -21.3959 -4.07477 22.3065
4.171 2513.06 2718.56 2061.95 452.917 745.471 570.648 -21.3943 -4.07829 22.3081
4.172 2513.51 2719.31 2062.52 452.895 745.467 570.671 -21.3926 -4.08182 22.3097
4.173 2513.96 2720.06 2063.09 452.874 745.463 570.693 -21.3909 -4.08534 22.3112
4.174 2514.41 2720.8 2063.66 452.853 745.459 570.715 -21.3893 -4.08885 22.3128
4.175 2514.87 2721.55 2064.23 452.831 745.455 570.738 -21.3877 -4.09237 22.3144
4.176 2515.32 2722.29 2064.8 452.81 745.45 570.76 -21.386 -4.09587 22.316
4.177 2515.77 2723.04 2065.37 452.788 745.446 570.782 -21.3844 -4.09938 22.3176
4.178 2516.23 2723.78 2065.95 452.767 745.442 570.805 -21.3828 -4.10288 22.3191
4.179 2516.68 2724.53 2066.52 452.746 745.438 570.827 -21.3811 -4.10638 22.3207
4.18 2517.13 2725.27 2067.09 452.724 745.434 570.849 -21.3795 -4.10988 22.3223
4.181 2517.58 2726.02 2067.66 452.703 745.43 570.872 -21.3779 -4.11337 22.3239
4.182 2518.04 2726.76 2068.23 452.681 745.426 570.894 -21.3763 -4.11686 22.3255
4.183 2518.49 2727.51 2068.8 452.66 745.422 570.916 -21.3747 -4.12035 22.3271
4.184 2518.94 2728.26 2069.37 452.639 745.418 570.939 -21.3731 -4.12383 22.3286
4.185 2519.39 2729 2069.94 452.617 745.413 570.961 -21.3715 -4.12731 22.3302
4.186 2519.85 2729.75 2070.51 452.596 745.409 570.983 -21.37 -4.13079 22.3318
4.187 2520.3 2730.49 2071.08 452.575 745.405 571.006 -21.3684 -4.13426 22.3334
4.188 2520.75 2731.24 2071.65 452.553 745.401 571.028 -21.3668 -4.13773 22.335
4.189 2521.21 2731.98 2072.23 452.532 745.397 571.05 -21.3653 -4.1412 22.3366
4.19 2521.66 2732.73 2072.8 452.511 745.393 571.073 -21.3637 -4.14466 22.3381
4.191 2522.11 2733.47 2073.37 452.489 745.389 571.095 -21.3621 -4.14812 22.3397
4.192 2522.56 2734.22 2073.94 452.468 745.384 571.117 -21.3606 -4.15158 22.3413
4.193 2523.02 2734.96 2074.51 452.446 745.38 571.14 -21.3591 -4.15503 22.3429
4.194 2523.47 2735.71 2075.08 452.425 745.376 571.162 -21.3575 -4.15848 22.3445
4.195 2523.92 2736.45 2075.65 452.404 745.372 571.184 -21.356 -4.16193 22.3461
4.196 2524.37 2737.2 2076.22 452.382 745.368 571.207 -21.3545 -4.16537 22.3476
4.197 2524.82 2737.95 2076.79 452.361 745.364 571.229 -21.353 -4.16881 22.3492
4.198 2525.28 2738.69 2077.37 452.34 745.359 571.251 -21.3514 -4.17225 22.3508
4.199 2525.73 2739.44 2077.94 452.318 745.355 571.274 -21.3499 -4.17568 22.3524
4.2 2526.18 2740.18 2078.51 452.297 745.351 571.296 -21.3484 -4.17911 22.354
4.201 2526.63 2740.93 2079.08 452.276 745.347 571.318 -21.347 -4.18254 22.3556
4.202 2527.09 2741.67 2079.65 452.254 745.343 571.341 -21.3455 -4.18596 22.3572
4.203 2527.54 2742.42 2080.22 452.233 745.339 571.363 -21.344 -4.18938 22.3587
4.204 2527.99 2743.16 2080.79 452.212 745.334 571.385 -21.3425 -4.1928 22.3603
4.205 2528.44 2743.91 2081.37 452.19 745.33 571.408 -21.341 -4.19622 22.3619
4.206 2528.9 2744.65 2081.94 452.169 745.326 571.43 -21.3396 -4.19963 22.3635
4.207 2529.35 2745.4 2082.51 452.148 745.322 571.453 -21.3381 -4.20304 22.3651
4.208 2529.8 2746.14 2083.08 452.126 745.318 571.475 -21.3367 -4.20644 22.3667
4.209 2530.25 2746.89 2083.65 452.105 745.313 571.497 -21.3352 -4.20984 22.3683
4.21 2530.7 2747.63 2084.22 452.084 745.309 571.52 -21.3338 -4.21324 22.3699
4.211 2531.16 2748.38 2084.79 452.062 745.305 571.542 -21.3323 -4.21664 22.3714
4.212 2531.61 2749.13 2085.37 452.041 745.301 571.564 -21.3309 -4.22003 22.373
4.213 2532.06 2749.87 2085.94 452.02 745.296 571.587 -21.3295 -4.22342 22.3746
4.214 2532.51 2750.62 2086.51 451.998 745.292 571.609 -21.328 -4.2268 22.3762
4.215 2532.96 2751.36 2087.08 451.977 745.288 571.632 -21.3266 -4.23018 22.3778
4.216 2533.42 2752.11 2087.65 451.956 745.284 571.654 -21.3252 -4.23356 22.3794
4.217 2533.87 2752.85 2088.22 451.934 745.28 571.676 -21.3238 -4.23694 22.381
4.218 2534.32 2753.6 2088.8 451.913 745.275 571.699 -21.3224 -4.24031 22.3826
4.219 2534.77 2754.34 2089.37 451.892 745.271 571.721 -21.321 -4.24368 22.3841
4.22 2535.22 2755.09 2089.94 451.87 745.267 571.743 -21.3196 -4.24705 22.3857
4.221 2535.68 2755.83 2090.51 451.849 745.263 571.766 -21.3183 -4.25041 22.3873
4.222 2536.13 2756.58 2091.08 451.828 745.258 571.788 -21.3169 -4.25377 22.3889
4.223 2536.58 2757.32 2091.65 451.806 745.254 571.811 -21.3155 -4.25713 22.3905
4.224 2537.03 2758.07 2092.23 451.785 745.25 571.833 -21.3141 -4.26049 22.3921
4.225 2537.48 2758.81 2092.8 451.764 745.246 571.855 -21.3128 -4.26384 22.3937
4.226 2537.93 2759.56 2093.37 451.742 745.241 571.878 -21.3114 -4.26719 22.3953
4.227 2538.39 2760.3 2093.94 451.721 745.237 571.9 -21.3101 -4.27053 22.3969
4.228 2538.84 2761.05 2094.51 451.7 745.233 571.923 -21.3087 -4.27387 22.3985
4.229 2539.29 2761.79 2095.09 451.678 745.228 571.945 -21.3074 -4.27721 22.4
4.23 2539.74 2762.54 2095.66 451.657 745.224 571.967 -21.3061 -4.28055 22.4016
4.231 2540.19 2763.29 2096.23 451.636 745.22 571.99 -21.3047 -4.28388 22.4032
4.232 2540.64 2764.03 2096.8 451.615 745.216 572.012 -21.3034 -4.28721 22.4048
4.233 2541.1 2764.78 2097.37 451.593 745.211 572.035 -21.3021 -4.29054 22.4064
4.234 2541.55 2765.52 2097.95 451.572 745.207 572.057 -21.3008 -4.29386 22.408
4.235 2542 2766.27 2098.52 451.551 745.203 572.079 -21.2995 -4.29718 22.4096
4.236 2542.45 2767.01 2099.09 451.529 745.198 572.102 -21.2982 -4.3005 22.4112
4.237 2542.9 2767.76 2099.66 451.508 745.194 572.124 -21.2969 -4.30381 22.4128
4.238 2543.35 2768.5 2100.23 451.487 745.19 572.147 -21.2956 -4.30712 22.4144
4.239 2543.81 2769.25 2100.81 451.465 745.186 572.169 -21.2943 -4.31043 22.416
4.24 2544.26 2769.99 2101.38 451.444 745.181 572.191 -21.293 -4.31374 22.4176
4.241 2544.71 2770.74 2101.95 451.423 745.177 572.214 -21.2918 -4.31704 22.4192
4.242 2545.16 2771.48 2102.52 451.402 745.173 572.236 -21.2905 -4.32034 22.4207
4.243 2545.61 2772.23 2103.09 451.38 745.168 572.259 -21.2892 -4.32363 22.4223
4.244 2546.06 2772.97 2103.67 451.359 745.164 572.281 -21.288 -4.32693 22.4239
4.245 2546.51 2773.72 2104.24 451.338 745.16 572.304 -21.2867 -4.33022 22.4255
4.246 2546.96 2774.46 2104.81 451.316 745.155 572.326 -21.2855 -4.3335 22.4271
4.247 2547.42 2775.21 2105.38 451.295 745.151 572.348 -21.2842 -4.33679 22.4287
4.248 2547.87 2775.95 2105.96 451.274 745.147 572.371 -21.283 -4.34007 22.4303
4.249 2548.32 2776.7 2106.53 451.253 745.142 572.393 -21.2818 -4.34335 22.4319
4.25 2548.77 2777.44 2107.1 451.231 745.138 572.416 -21.2806 -4.34662 22.4335
4.251 2549.22 2778.19 2107.67 451.21 745.134 572.438 -21.2793 -4.34989 22.4351
4.252 2549.67 2778.93 2108.25 451.189 745.129 572.461 -21.2781 -4.35316 22.4367
4.253 2550.12 2779.68 2108.82 451.167 745.125 572.483 -21.2769 -4.35643 22.4383
4.254 2550.57 2780.42 2109.39 451.146 745.121 572.505 -21.2757 -4.35969 22.4399
4.255 2551.03 2781.17 2109.96 451.125 745.116 572.528 -21.2745 -4.36295 22.4415
4.256 2551.48 2781.91 2110.54 451.104 745.112 572.55 -21.2733 -4.36621 22.4431
4.257 2551.93 2782.66 2111.11 451.082 745.107 572.573 -21.2721 -4.36946 22.4447
4.258 2552.38 2783.4 2111.68 451.061 745.103 572.595 -21.2709 -4.37271 22.4462
4.259 2552.83 2784.15 2112.25 451.04 745.099 572.618 -21.2698 -4.37596 22.4478
4.26 2553.28 2784.89 2112.83 451.019 745.094 572.64 -21.2686 -4.37921 22.4494
4.261 2553.73 2785.64 2113.4 450.997 745.09 572.663 -21.2674 -4.38245 22.451
4.262 2554.18 2786.39 2113.97 450.976 745.086 572.685 -21.2663 -4.38569 22.4526
4.263 2554.63 2787.13 2114.54 450.955 745.081 572.708 -21.2651 -4.38893 22.4542
4.264 2555.09 2787.88 2115.12 450.933 745.077 572.73 -21.2639 -4.39216 22.4558
4.265 2555.54 2788.62 2115.69 450.912 745.072 572.752 -21.2628 -4.39539 22.4574
4.266 2555.99 2789.37 2116.26 450.891 745.068 572.775 -21.2617 -4.39862 22.459
4.267 2556.44 2790.11 2116.84 450.87 745.064 572.797 -21.2605 -4.40185 22.4606
4.268 2556.89 2790.86 2117.41 450.848 745.059 572.82 -21.2594 -4.40507 22.4622
4.269 2557.34 2791.6 2117.98 450.827 745.055 572.842 -21.2583 -4.40829 22.4638
4.27 2557.79 2792.35 2118.55 450.806 745.05 572.865 -21.2571 -4.4115 22.4654
4.271 2558.24 2793.09 2119.13 450.785 745.046 572.887 -21.256 -4.41472 22.467
4.272 2558.69 2793.84 2119.7 450.763 745.042 572.91 -21.2549 -4.41793 22.4686
4.273 2559.14 2794.58 2120.27 450.742 745.037 572.932 -21.2538 -4.42113 22.4702
4.274 2559.59 2795.33 2120.85 450.721 745.033 572.955 -21.2527 -4.42434 22.4718
4.275 2560.04 2796.07 2121.42 450.7 745.028 572.977 -21.2516 -4.42754 22.4734
4.276 2560.49 2796.82 2121.99 450.678 745.024 573 -21.2505 -4.43074 22.475
4.277 2560.95 2797.56 2122.56 450.657 745.019 573.022 -21.2494 -4.43394 22.4766
4.278 2561.4 2798.31 2123.14 450.636 745.015 573.044 -21.2483 -4.43713 22.4782
4.279 2561.85 2799.05 2123.71 450.615 745.011 573.067 -21.2473 -4.44032 22.4798
4.28 2562.3 2799.8 2124.28 450.593 745.006 573.089 -21.2462 -4.44351 22.4814
4.281 2562.75 2800.54 2124.86 450.572 745.002 573.112 -21.2451 -4.44669 22.483
4.282 2563.2 2801.29 2125.43 450.551 744.997 573.134 -21.2441 -4.44988 22.4846
4.283 2563.65 2802.03 2126 450.53 744.993 573.157 -21.243 -4.45305 22.4862
4.284 2564.1 2802.78 2126.58 450.508 744.988 573.179 -21.242 -4.45623 22.4878
4.285 2564.55 2803.52 2127.15 450.487 744.984 573.202 -21.2409 -4.4594 22.4894
4.286 2565 2804.27 2127.72 450.466 744.979 573.224 -21.2399 -4.46258 22.491
4.287 2565.45 2805.01 2128.3 450.445 744.975 573.247 -21.2388 -4.46574 22.4926
4.288 2565.9 2805.76 2128.87 450.423 744.97 573.269 -21.2378 -4.46891 22.4942
4.289 2566.35 2806.5 2129.44 450.402 744.966 573.292 -21.2368 -4.47207 22.4958
4.29 2566.8 2807.25 2130.02 450.381 744.961 573.314 -21.2358 -4.47523 22.4974
4.291 2567.25 2807.99 2130.59 450.36 744.957 573.337 -21.2348 -4.47839 22.499
4.292 2567.7 2808.74 2131.16 450.339 744.953 573.359 -21.2337 -4.48154 22.5006
4.293 2568.15 2809.48 2131.74 450.317 744.948 573.382 -21.2327 -4.48469 22.5022
4.294 2568.6 2810.23 2132.31 450.296 744.944 573.404 -21.2317 -4.48784 22.5038
4.295 2569.05 2810.97 2132.88 450.275 744.939 573.427 -21.2307 -4.49099 22.5054
4.296 2569.5 2811.72 2133.46 450.254 744.935 573.449 -21.2297 -4.49413 22.507
4.297 2569.95 2812.46 2134.03 450.232 744.93 573.472 -21.2288 -4.49727 22.5086
4.298 2570.4 2813.21 2134.6 450.211 744.926 573.494 -21.2278 -4.50041 22.5102
4.299 2570.85 2813.95 2135.18 450.19 744.921 573.517 -21.2268 -4.50354 22.5118
4.3 2571.3 2814.7 2135.75 450.169 744.917 573.539 -21.2258 -4.50667 22.5134
4.301 2571.75 2815.44 2136.32 450.147 744.912 573.562 -21.2249 -4.5098 22.515
4.302 2572.21 2816.18 2136.9 450.126 744.908 573.584 -21.2239 -4.51293 22.5166
4.303 2572.66 2816.93 2137.47 450.105 744.903 573.607 -21.2229 -4.51605 22.5182
4.304 2573.11 2817.67 2138.04 450.084 744.899 573.629 -21.222 -4.51917 22.5198
4.305 2573.56 2818.42 2138.62 450.063 744.894 573.652 -21.221 -4.52229 22.5214
4.306 2574.01 2819.16 2139.19 450.041 744.889 573.675 -21.2201 -4.52541 22.523
4.307 2574.46 2819.91 2139.77 450.02 744.885 573.697 -21.2192 -4.52852 22.5246
4.308 2574.91 2820.65 2140.34 449.999 744.88 573.72 -21.2182 -4.53163 22.5262
4.309 2575.36 2821.4 2140.91 449.978 744.876 573.742 -21.2173 -4.53474 22.5278
4.31 2575.81 2822.14 2141.49 449.956 744.871 573.765 -21.2164 -4.53784 22.5294
4.311 2576.26 2822.89 2142.06 449.935 744.867 573.787 -21.2155 -4.54094 22.531
4.312 2576.71 2823.63 2142.63 449.914 744.862 573.81 -21.2145 -4.54404 22.5326
4.313 2577.16 2824.38 2143.21 449.893 744.858 573.832 -21.2136 -4.54714 22.5342
4.314 2577.61 2825.12 2143.78 449.872 744.853 573.855 -21.2127 -4.55023 22.5358
4.315 2578.05 2825.87 2144.36 449.85 744.849 573.877 -21.2118 -4.55332 22.5374
4.316 2578.5 2826.61 2144.93 449.829 744.844 573.9 -21.2109 -4.55641 22.539
4.317 2578.95 2827.36 2145.5 449.808 744.84 573.922 -21.21 -4.5595 22.5406
4.318 2579.4 2828.1 2146.08 449.787 744.835 573.945 -21.2092 -4.56258 22.5422
4.319 2579.85 2828.85 2146.65 449.766 744.83 573.967 -21.2083 -4.56566 22.5438
4.32 2580.3 2829.59 2147.23 449.744 744.826 573.99 -21.2074 -4.56874 22.5454
4.321 2580.75 2830.34 2147.8 449.723 744.821 574.013 -21.2065 -4.57182 22.547
4.322 2581.2 2831.08 2148.37 449.702 744.817 574.035 -21.2057 -4.57489 22.5486
4.323 2581.65 2831.83 2148.95 449.681 744.812 574.058 -21.2048 -4.57796 22.5502
4.324 2582.1 2832.57 2149.52 449.66 744.808 574.08 -21.204 -4.58102 22.5518
4.325 2582.55 2833.32 2150.1 449.638 744.803 574.103 -21.2031 -4.58409 22.5534
4.326 2583 2834.06 2150.67 449.617 744.798 574.125 -21.2023 -4.58715 22.555
4.327 2583.45 2834.81 2151.24 449.596 744.794 574.148 -21.2014 -4.59021 22.5566
4.328 2583.9 2835.55 2151.82 449.575 744.789 574.17 -21.2006 -4.59327 22.5582
4.329 2584.35 2836.3 2152.39 449.554 744.785 574.193 -21.1997 -4.59632 22.5598
4.33 2584.8 2837.04 2152.97 449.532 744.78 574.216 -21.1989 -4.59937 22.5614
4.331 2585.25 2837.79 2153.54 449.511 744.775 574.238 -21.1981 -4.60242 22.563
4.332 2585.7 2838.53 2154.11 449.49 744.771 574.261 -21.1973 -4.60547 22.5646
4.333 2586.15 2839.27 2154.69 449.469 744.766 574.283 -21.1965 -4.60851 22.5662
4.334 2586.6 2840.02 2155.26 449.448 744.762 574.306 -21.1956 -4.61155 22.5678
4.335 2587.05 2840.76 2155.84 449.426 744.757 574.328 -21.1948 -4.61459 22.5694
4.336 2587.5 2841.51 2156.41 449.405 744.752 574.351 -21.194 -4.61763 22.571
4.337 2587.95 2842.25 2156.99 449.384 744.748 574.373 -21.1932 -4.62066 22.5726
4.338 2588.4 2843 2157.56 449.363 744.743 574.396 -21.1925 -4.62369 22.5743
4.339 2588.85 2843.74 2158.14 449.342 744.738 574.419 -21.1917 -4.62672 22.5759
4.34 2589.29 2844.49 2158.71 449.32 744.734 574.441 -21.1909 -4.62974 22.5775
4.341 2589.74 2845.23 2159.28 449.299 744.729 574.464 -21.1901 -4.63277 22.5791
4.342 2590.19 2845.98 2159.86 449.278 744.725 574.486 -21.1893 -4.63579 22.5807
4.343 2590.64 2846.72 2160.43 449.257 744.72 574.509 -21.1886 -4.63881 22.5823
4.344 2591.09 2847.47 2161.01 449.236 744.715 574.532 -21.1878 -4.64182 22.5839
4.345 2591.54 2848.21 2161.58 449.214 744.711 574.554 -21.187 -4.64483 22.5855
4.346 2591.99 2848.96 2162.16 449.193 744.706 574.577 -21.1863 -4.64784 22.5871
4.347 2592.44 2849.7 2162.73 449.172 744.701 574.599 -21.1855 -4.65085 22.5887
4.348 2592.89 2850.45 2163.31 449.151 744.697 574.622 -21.1848 -4.65386 22.5903
4.349 2593.34 2851.19 2163.88 449.13 744.692 574.644 -21.1841 -4.65686 22.5919
4.35 2593.79 2851.94 2164.46 449.109 744.687 574.667 -21.1833 -4.65986 22.5935
4.351 2594.24 2852.68 2165.03 449.087 744.683 574.69 -21.1826 -4.66286 22.5951
4.352 2594.68 2853.42 2165.6 449.066 744.678 574.712 -21.1819 -4.66585 22.5967
4.353 2595.13 2854.17 2166.18 449.045 744.673 574.735 -21.1811 -4.66884 22.5983
4.354 2595.58 2854.91 2166.75 449.024 744.669 574.757 -21.1804 -4.67183 22.5999
4.355 2596.03 2855.66 2167.33 449.003 744.664 574.78 -21.1797 -4.67482 22.6015
4.356 2596.48 2856.4 2167.9 448.981 744.659 574.803 -21.179 -4.67781 22.6031
4.357 2596.93 2857.15 2168.48 448.96 744.655 574.825 -21.1783 -4.68079 22.6047
4.358 2597.38 2857.89 2169.05 448.939 744.65 574.848 -21.1776 -4.68377 22.6064
4.359 2597.83 2858.64 2169.63 448.918 744.645 574.87 -21.1769 -4.68674 22.608
4.36 2598.28 2859.38 2170.2 448.897 744.641 574.893 -21.1762 -4.68972 22.6096
4.361 2598.73 2860.13 2170.78 448.876 744.636 574.916 -21.1755 -4.69269 22.6112
4.362 2599.17 2860.87 2171.35 448.854 744.631 574.938 -21.1748 -4.69566 22.6128
4.363 2599.62 2861.62 2171.93 448.833 744.627 574.961 -21.1742 -4.69863 22.6144
4.364 2600.07 2862.36 2172.5 448.812 744.622 574.984 -21.1735 -4.70159 22.616
4.365 2600.52 2863.11 2173.08 448.791 744.617 575.006 -21.1728 -4.70456 22.6176
4.366 2600.97 2863.85 2173.65 448.77 744.612 575.029 -21.1721 -4.70752 22.6192
4.367 2601.42 2864.59 2174.23 448.748 744.608 575.051 -21.1715 -4.71047 22.6208
4.368 2601.87 2865.34 2174.8 448.727 744.603 575.074 -21.1708 -4.71343 22.6224
4.369 2602.32 2866.08 2175.38 448.706 744.598 575.097 -21.1702 -4.71638 22.624
4.37 2602.76 2866.83 2175.95 448.685 744.594 575.119 -21.1695 -4.71933 22.6256
4.371 2603.21 2867.57 2176.53 448.664 744.589 575.142 -21.1689 -4.72228 22.6272
4.372 2603.66 2868.32 2177.1 448.643 744.584 575.165 -21.1682 -4.72523 22.6288
4.373 2604.11 2869.06 2177.68 448.621 744.579 575.187 -21.1676 -4.72817 22.6304
4.374 2604.56 2869.81 2178.25 448.6 744.575 575.21 -21.167 -4.73111 22.6321
4.375 2605.01 2870.55 2178.83 448.579 744.57 575.232 -21.1664 -4.73405 22.6337
4.376 2605.46 2871.3 2179.4 448.558 744.565 575.255 -21.1657 -4.73698 22.6353
4.377 2605.9 2872.04 2179.98 448.537 744.56 575.278 -21.1651 -4.73992 22.6369
4.378 2606.35 2872.78 2180.55 448.516 744.556 575.3 -21.1645 -4.74285 22.6385
4.379 2606.8 2873.53 2181.13 448.494 744.551 575.323 -21.1639 -4.74577 22.6401
4.38 2607.25 2874.27 2181.71 448.473 744.546 575.346 -21.1633 -4.7487 22.6417
4.381 2607.7 2875.02 2182.28 448.452 744.542 575.368 -21.1627 -4.75162 22.6433
4.382 2608.15 2875.76 2182.86 448.431 744.537 575.391 -21.1621 -4.75455 22.6449
4.383 2608.6 2876.51 2183.43 448.41 744.532 575.414 -21.1615 -4.75746 22.6465
4.384 2609.04 2877.25 2184.01 448.389 744.527 575.436 -21.1609 -4.76038 22.6481
4.385 2609.49 2878 2184.58 448.368 744.522 575.459 -21.1603 -4.76329 22.6497
4.386 2609.94 2878.74 2185.16 448.346 744.518 575.481 -21.1598 -4.76621 22.6513
4.387 2610.39 2879.49 2185.73 448.325 744.513 575.504 -21.1592 -4.76911 22.653
4.388 2610.84 2880.23 2186.31 448.304 744.508 575.527 -21.1586 -4.77202 22.6546
4.389 2611.29 2880.97 2186.88 448.283 744.503 575.549 -21.1581 -4.77493 22.6562
4.39 2611.73 2881.72 2187.46 448.262 744.499 575.572 -21.1575 -4.77783 22.6578
4.391 2612.18 2882.46 2188.04 448.241 744.494 575.595 -21.1569 -4.78073 22.6594
4.392 2612.63 2883.21 2188.61 448.219 744.489 575.617 -21.1564 -4.78363 22.661
4.393 2613.08 2883.95 2189.19 448.198 744.484 575.64 -21.1558 -4.78652 22.6626
4.394 2613.53 2884.7 2189.76 448.177 744.479 575.663 -21.1553 -4.78941 22.6642
4.395 2613.98 2885.44 2190.34 448.156 744.475 575.685 -21.1548 -4.7923 22.6658
4.396 2614.42 2886.19 2190.91 448.135 744.47 575.708 -21.1542 -4.79519 22.6674
4.397 2614.87 2886.93 2191.49 448.114 744.465 575.731 -21.1537 -4.79808 22.669
4.398 2615.32 2887.67 2192.07 448.092 744.46 575.753 -21.1532 -4.80096 22.6706
4.399 2615.77 2888.42 2192.64 448.071 744.456 575.776 -21.1526 -4.80384 22.6723
4.4 2616.22 2889.16 2193.22 448.05 744.451 575.799 -21.1521 -4.80672 22.6739
4.401 2616.66 2889.91 2193.79 448.029 744.446 575.821 -21.1516 -4.8096 22.6755
4.402 2617.11 2890.65 2194.37 448.008 744.441 575.844 -21.1511 -4.81247 22.6771
4.403 2617.56 2891.4 2194.94 447.987 744.436 575.867 -21.1506 -4.81534 22.6787
4.404 2618.01 2892.14 2195.52 447.966 744.431 575.889 -21.1501 -4.81821 22.6803
4.405 2618.46 2892.89 2196.1 447.944 744.427 575.912 -21.1496 -4.82108 22.6819
4.406 2618.9 2893.63 2196.67 447.923 744.422 575.935 -21.1491 -4.82394 22.6835
4.407 2619.35 2894.37 2197.25 447.902 744.417 575.958 -21.1486 -4.8268 22.6851
4.408 2619.8 2895.12 2197.82 447.881 744.412 575.98 -21.1481 -4.82966 22.6867
4.409 2620.25 2895.86 2198.4 447.86 744.407 576.003 -21.1477 -4.83252 22.6883
4.41 2620.7 2896.61 2198.98 447.839 744.402 576.026 -21.1472 -4.83538 22.69
4.411 2621.14 2897.35 2199.55 447.818 744.398 576.048 -21.1467 -4.83823 22.6916
4.412 2621.59 2898.1 2200.13 447.796 744.393 576.071 -21.1462 -4.84108 22.6932
4.413 2622.04 2898.84 2200.7 447.775 744.388 576.094 -21.1458 -4.84393 22.6948
4.414 2622.49 2899.59 2201.28 447.754 744.383 576.116 -21.1453 -4.84678 22.6964
4.415 2622.93 2900.33 2201.86 447.733 744.378 576.139 -21.1449 -4.84962 22.698
4.416 2623.38 2901.07 2202.43 447.712 744.373 576.162 -21.1444 -4.85246 22.6996
4.417 2623.83 2901.82 2203.01 447.691 744.369 576.184 -21.144 -4.8553 22.7012
4.418 2624.28 2902.56 2203.58 447.67 744.364 576.207 -21.1435 -4.85814 22.7028
4.419 2624.72 2903.31 2204.16 447.648 744.359 576.23 -21.1431 -4.86097 22.7044
4.42 2625.17 2904.05 2204.74 447.627 744.354 576.253 -21.1426 -4.86381 22.706
4.421 2625.62 2904.8 2205.31 447.606 744.349 576.275 -21.1422 -4.86664 22.7077
4.422 2626.07 2905.54 2205.89 447.585 744.344 576.298 -21.1418 -4.86947 22.7093
4.423 2626.52 2906.28 2206.47 447.564 744.339 576.321 -21.1414 -4.87229 22.7109
4.424 2626.96 2907.03 2207.04 447.543 744.335 576.343 -21.1409 -4.87512 22.7125
4.425 2627.41 2907.77 2207.62 447.522 744.33 576.366 -21.1405 -4.87794 22.7141
4.426 2627.86 2908.52 2208.2 447.5 744.325 576.389 -21.1401 -4.88076 22.7157
4.427 2628.31 2909.26 2208.77 447.479 744.32 576.412 -21.1397 -4.88357 22.7173
4.428 2628.75 2910.01 2209.35 447.458 744.315 576.434 -21.1393 -4.88639 22.7189
4.429 2629.2 2910.75 2209.92 447.437 744.31 576.457 -21.1389 -4.8892 22.7205
4.43 2629.65 2911.5 2210.5 447.416 744.305 576.48 -21.1385 -4.89201 22.7221
4.431 2630.1 2912.24 2211.08 447.395 744.3 576.502 -21.1381 -4.89482 22.7238
4.432 2630.54 2912.98 2211.65 447.374 744.295 576.525 -21.1377 -4.89763 22.7254
4.433 2630.99 2913.73 2212.23 447.352 744.291 576.548 -21.1374 -4.90043 22.727
4.434 2631.44 2914.47 2212.81 447.331 744.286 576.571 -21.137 -4.90323 22.7286
4.435 2631.88 2915.22 2213.38 447.31 744.281 576.593 -21.1366 -4.90603 22.7302
4.436 2632.33 2915.96 2213.96 447.289 744.276 576.616 -21.1362 -4.90883 22.7318
4.437 2632.78 2916.71 2214.54 447.268 744.271 576.639 -21.1359 -4.91162 22.7334
4.438 2633.23 2917.45 2215.11 447.247 744.266 576.662 -21.1355 -4.91442 22.735
4.439 2633.67 2918.19 2215.69 447.226 744.261 576.684 -21.1351 -4.91721 22.7366
4.44 2634.12 2918.94 2216.27 447.204 744.256 576.707 -21.1348 -4.92 22.7383
4.441 2634.57 2919.68 2216.84 447.183 744.251 576.73 -21.1344 -4.92278 22.7399
4.442 2635.02 2920.43 2217.42 447.162 744.246 576.752 -21.1341 -4.92557 22.7415
4.443 2635.46 2921.17 2218 447.141 744.241 576.775 -21.1338 -4.92835 22.7431
4.444 2635.91 2921.91 2218.57 447.12 744.236 576.798 -21.1334 -4.93113 22.7447
4.445 2636.36 2922.66 2219.15 447.099 744.232 576.821 -21.1331 -4.93391 22.7463
