TOF EAST NORTH UP EAST_V NORTH_V UP_V EAST_A NORTH_A UP_A
0.072 71.522 13.6499 18.1575 986.343 209.287 264.247 -205.461 550.16 331.179
0.073 72.5082 13.8595 18.4219 986.137 209.838 264.578 -205.896 550.25 331.011
0.074 73.4943 14.0696 18.6867 985.931 210.388 264.909 -206.331 550.339 330.843
0.075 74.4801 14.2803 18.9518 985.724 210.938 265.24 -206.766 550.427 330.674
0.076 75.4657 14.4915 19.2172 985.518 211.489 265.571 -207.201 550.513 330.505
0.077 76.4511 14.7033 19.4829 985.31 212.039 265.901 -207.635 550.598 330.335
0.078 77.4363 14.9156 19.749 985.102 212.59 266.231 -208.07 550.682 330.165
0.079 78.4213 15.1284 20.0154 984.894 213.141 266.561 -208.504 550.764 329.994
0.08 79.4061 15.3419 20.2821 984.685 213.692 266.891 -208.938 550.845 329.823
0.081 80.3907 15.5558 20.5492 984.476 214.242 267.221 -209.371 550.924 329.651
0.082 81.3751 15.7703 20.8165 984.266 214.793 267.551 -209.805 551.001 329.479
0.083 82.3592 15.9854 21.0843 984.056 215.344 267.88 -210.238 551.078 329.306
0.084 83.3432 16.201 21.3523 983.846 215.896 268.209 -210.671 551.153 329.133
0.085 84.3269 16.4172 21.6207 983.635 216.447 268.538 -211.104 551.226 328.959
0.086 85.3105 16.6339 21.8894 983.424 216.998 268.867 -211.537 551.298 328.785
0.087 86.2938 16.8512 22.1584 983.212 217.549 269.196 -211.969 551.369 328.61
0.088 87.2769 17.069 22.4278 983 218.101 269.524 -212.401 551.438 328.435
0.089 88.2598 17.2874 22.6975 982.787 218.652 269.853 -212.833 551.506 328.259
0.09 89.2425 17.5063 22.9675 982.574 219.204 270.181 -213.265 551.572 328.083
0.091 90.2249 17.7258 23.2378 982.361 219.755 270.509 -213.696 551.637 327.906
0.092 91.2072 17.9458 23.5085 982.147 220.307 270.837 -214.127 551.7 327.729
0.093 92.1892 18.1664 23.7795 981.932 220.859 271.164 -214.558 551.762 327.551
0.094 93.1711 18.3876 24.0508 981.718 221.411 271.492 -214.989 551.822 327.373
0.095 94.1527 18.6092 24.3225 981.502 221.962 271.819 -215.419 551.882 327.194
0.096 95.1341 18.8315 24.5945 981.287 222.514 272.146 -215.849 551.939 327.015
0.097 96.1152 19.0543 24.8668 981.071 223.066 272.473 -216.279 551.995 326.835
0.098 97.0962 19.2776 25.1394 980.854 223.618 272.8 -216.709 552.05 326.655
0.099 98.0769 19.5015 25.4124 980.637 224.17 273.126 -217.138 552.103 326.474
0.1 99.0575 19.726 25.6857 980.42 224.723 273.453 -217.567 552.155 326.293
0.101 100.038 19.951 25.9593 980.202 225.275 273.779 -217.996 552.205 326.112
0.102 101.018 20.1765 26.2332 979.984 225.827 274.105 -218.425 552.254 325.929
0.103 101.998 20.4026 26.5075 979.765 226.379 274.431 -218.853 552.302 325.747
0.104 102.977 20.6293 26.7821 979.546 226.932 274.756 -219.281 552.348 325.564
0.105 103.957 20.8565 27.057 979.327 227.484 275.082 -219.709 552.392 325.38
0.106 104.936 21.0842 27.3322 979.107 228.036 275.407 -220.136 552.436 325.196
0.107 105.915 21.3125 27.6078 978.887 228.589 275.732 -220.563 552.477 325.011
0.108 106.894 21.5414 27.8837 978.666 229.141 276.057 -220.99 552.517 324.826
0.109 107.872 21.7708 28.1599 978.445 229.694 276.382 -221.416 552.556 324.641
0.11 108.851 22.0008 28.4365 978.223 230.246 276.706 -221.842 552.594 324.455
0.111 109.829 22.2313 28.7133 978.001 230.799 277.031 -222.268 552.629 324.268
0.112 110.807 22.4624 28.9905 977.778 231.352 277.355 -222.694 552.664 324.081
0.113 111.784 22.694 29.268 977.555 231.904 277.679 -223.119 552.697 323.894
0.114 112.762 22.9262 29.5459 977.332 232.457 278.003 -223.544 552.728 323.706
0.115 113.739 23.1589 29.824 977.108 233.01 278.326 -223.969 552.758 323.517
0.116 114.716 23.3922 30.1025 976.884 233.563 278.65 -224.393 552.787 323.328
0.117 115.693 23.6261 30.3813 976.66 234.115 278.973 -224.817 552.814 323.139
0.118 116.669 23.8605 30.6605 976.435 234.668 279.296 -225.24 552.84 322.949
0.119 117.646 24.0954 30.9399 976.209 235.221 279.619 -225.663 552.864 322.759
0.12 118.622 24.3309 31.2197 975.983 235.774 279.942 -226.086 552.887 322.568
0.121 119.598 24.5669 31.4998 975.757 236.327 280.264 -226.509 552.908 322.377
0.122 120.573 24.8035 31.7802 975.53 236.88 280.586 -226.931 552.928 322.185
0.123 121.549 25.0407 32.061 975.303 237.433 280.908 -227.353 552.946 321.993
0.124 122.524 25.2784 32.3421 975.076 237.986 281.23 -227.774 552.963 321.8
0.125 123.499 25.5167 32.6235 974.848 238.539 281.552 -228.195 552.979 321.607
0.126 124.474 25.7555 32.9052 974.619 239.092 281.874 -228.616 552.993 321.413
0.127 125.448 25.9949 33.1872 974.39 239.645 282.195 -229.037 553.005 321.219
0.128 126.422 26.2348 33.4696 974.161 240.198 282.516 -229.457 553.016 321.024
0.129 127.396 26.4753 33.7522 973.931 240.751 282.837 -229.876 553.026 320.829
0.13 128.37 26.7163 34.0352 973.701 241.304 283.158 -230.296 553.034 320.634
0.131 129.344 26.9579 34.3185 973.471 241.857 283.478 -230.714 553.041 320.438
0.132 130.317 27.2 34.6022 973.24 242.41 283.799 -231.133 553.046 320.241
0.133 131.29 27.4427 34.8861 973.009 242.963 284.119 -231.551 553.05 320.044
0.134 132.263 27.6859 35.1704 972.777 243.516 284.439 -231.969 553.052 319.847
0.135 133.236 27.9297 35.455 972.545 244.069 284.758 -232.386 553.053 319.649
0.136 134.208 28.1741 35.7399 972.312 244.622 285.078 -232.803 553.053 319.451
0.137 135.18 28.419 36.0252 972.079 245.175 285.397 -233.22 553.051 319.252
0.138 136.152 28.6644 36.3107 971.846 245.728 285.716 -233.636 553.047 319.053
0.139 137.124 28.9104 36.5966 971.612 246.281 286.035 -234.051 553.042 318.853
0.14 138.096 29.157 36.8828 971.377 246.834 286.354 -234.467 553.036 318.653
0.141 139.067 29.4041 37.1693 971.143 247.387 286.673 -234.882 553.028 318.452
0.142 140.038 29.6517 37.4562 970.908 247.94 286.991 -235.296 553.018 318.251
0.143 141.009 29.9 37.7433 970.672 248.493 287.309 -235.71 553.008 318.05
0.144 141.979 30.1487 38.0308 970.436 249.046 287.627 -236.124 552.995 317.848
0.145 142.95 30.3981 38.3186 970.2 249.599 287.945 -236.537 552.982 317.645
0.146 143.92 30.6479 38.6067 969.963 250.152 288.262 -236.95 552.967 317.442
0.147 144.89 30.8984 38.8951 969.726 250.705 288.58 -237.362 552.95 317.239
0.148 145.859 31.1493 39.1838 969.489 251.258 288.897 -237.774 552.932 317.035
0.149 146.829 31.4009 39.4729 969.251 251.811 289.214 -238.185 552.912 316.831
0.15 147.798 31.653 39.7622 969.012 252.364 289.531 -238.596 552.891 316.626
0.151 148.767 31.9056 40.0519 968.773 252.917 289.847 -239.007 552.869 316.421
0.152 149.735 32.1588 40.3419 968.534 253.47 290.163 -239.417 552.845 316.216
0.153 150.704 32.4125 40.6323 968.294 254.022 290.48 -239.827 552.82 316.01
0.154 151.672 32.6668 40.9229 968.054 254.575 290.795 -240.236 552.793 315.803
0.155 152.64 32.9217 41.2139 967.814 255.128 291.111 -240.645 552.764 315.596
0.156 153.607 33.1771 41.5051 967.573 255.681 291.427 -241.053 552.735 315.389
0.157 154.575 33.4331 41.7967 967.332 256.233 291.742 -241.461 552.703 315.181
0.158 155.542 33.6896 42.0886 967.09 256.786 292.057 -241.868 552.671 314.973
0.159 156.509 33.9466 42.3808 966.848 257.339 292.372 -242.275 552.637 314.764
0.16 157.476 34.2042 42.6734 966.606 257.891 292.687 -242.681 552.601 314.555
0.161 158.442 34.4624 42.9662 966.363 258.444 293.001 -243.087 552.564 314.345
0.162 159.409 34.7211 43.2594 966.12 258.997 293.315 -243.492 552.525 314.135
0.163 160.375 34.9804 43.5528 965.876 259.549 293.629 -243.897 552.486 313.925
0.164 161.34 35.2402 43.8466 965.632 260.102 293.943 -244.302 552.444 313.714
0.165 162.306 35.5006 44.1407 965.387 260.654 294.257 -244.706 552.401 313.502
0.166 163.271 35.7615 44.4351 965.142 261.206 294.57 -245.109 552.357 313.291
0.167 164.236 36.023 44.7299 964.897 261.759 294.883 -245.512 552.311 313.078
0.168 165.201 36.2851 45.0249 964.651 262.311 295.196 -245.914 552.264 312.866
0.169 166.165 36.5476 45.3202 964.405 262.863 295.509 -246.316 552.215 312.653
0.17 167.13 36.8108 45.6159 964.159 263.415 295.822 -246.718 552.165 312.439
0.171 168.094 37.0745 45.9119 963.912 263.968 296.134 -247.119 552.114 312.225
0.172 169.057 37.3387 46.2082 963.664 264.52 296.446 -247.519 552.061 312.011
0.173 170.021 37.6035 46.5048 963.417 265.072 296.758 -247.919 552.006 311.796
0.174 170.984 37.8689 46.8017 963.169 265.624 297.07 -248.318 551.95 311.581
0.175 171.947 38.1348 47.0989 962.92 266.176 297.381 -248.717 551.893 311.365
0.176 172.91 38.4012 47.3965 962.671 266.727 297.692 -249.115 551.834 311.149
0.177 173.873 38.6682 47.6943 962.422 267.279 298.003 -249.513 551.774 310.933
0.178 174.835 38.9358 47.9925 962.172 267.831 298.314 -249.91 551.712 310.716
0.179 175.797 39.2039 48.2909 961.922 268.383 298.625 -250.307 551.649 310.498
0.18 176.759 39.4725 48.5897 961.672 268.934 298.935 -250.703 551.584 310.28
0.181 177.72 39.7417 48.8888 961.421 269.486 299.245 -251.098 551.518 310.062
0.182 178.682 40.0115 49.1882 961.169 270.037 299.555 -251.493 551.45 309.844
0.183 179.643 40.2818 49.4879 960.918 270.589 299.865 -251.888 551.382 309.625
0.184 180.604 40.5527 49.7879 960.666 271.14 300.175 -252.281 551.311 309.405
0.185 181.564 40.8241 50.0883 960.413 271.691 300.484 -252.675 551.239 309.185
0.186 182.524 41.0961 50.3889 960.16 272.243 300.793 -253.067 551.166 308.965
0.187 183.484 41.3686 50.6898 959.907 272.794 301.102 -253.46 551.091 308.744
0.188 184.444 41.6416 50.9911 959.653 273.345 301.41 -253.851 551.015 308.523
0.189 185.404 41.9153 51.2927 959.399 273.896 301.719 -254.242 550.937 308.302
0.19 186.363 42.1894 51.5945 959.145 274.447 302.027 -254.633 550.858 308.08
0.191 187.322 42.4642 51.8967 958.89 274.997 302.335 -255.023 550.778 307.858
0.192 188.281 42.7394 52.1992 958.635 275.548 302.643 -255.412 550.696 307.635
0.193 189.239 43.0153 52.502 958.379 276.099 302.95 -255.801 550.613 307.412
0.194 190.197 43.2916 52.8051 958.123 276.649 303.258 -256.189 550.528 307.188
0.195 191.155 43.5686 53.1085 957.867 277.2 303.565 -256.576 550.441 306.964
0.196 192.113 43.846 53.4122 957.61 277.75 303.871 -256.963 550.354 306.74
0.197 193.071 44.1241 53.7163 957.353 278.301 304.178 -257.349 550.265 306.515
0.198 194.028 44.4026 54.0206 957.095 278.851 304.485 -257.735 550.174 306.29
0.199 194.985 44.6818 54.3252 956.837 279.401 304.791 -258.12 550.082 306.064
0.2 195.942 44.9614 54.6302 956.579 279.951 305.097 -258.505 549.989 305.838
0.201 196.898 45.2417 54.9354 956.32 280.501 305.402 -258.889 549.894 305.612
0.202 197.854 45.5224 55.241 956.061 281.051 305.708 -259.272 549.798 305.385
0.203 198.81 45.8038 55.5468 955.802 281.6 306.013 -259.654 549.7 305.158
0.204 199.766 46.0856 55.853 955.542 282.15 306.318 -260.036 549.601 304.93
0.205 200.721 46.3681 56.1595 955.282 282.7 306.623 -260.418 549.5 304.703
