tof posE posN posU tgtE tgtN tgtU normComm normAch pitchRate thetaRate pitchDefl alpha theta sideComm sideAch yawRate psiRate yawDefl beta psi rollComm phiRate rollRate rollDefl roll seekPitchErr seekYawErr staticMargin mach
0.0140000000 0.0077397439 0.0044685432 0.0144497616 3000.0000000000 0.0000000000 3000.0000000000 -0.0000270402 -0.4999834781 -0.0000187185 -0.0000187185 0.0000000000 2.4447856104 59.9999999255 -0.0000727188 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000989 -0.0000006504 1.1463163410 0.0044686902
0.0150000000 0.0085324564 0.0049262160 0.0158880838 3000.0000000000 0.0000000000 3000.0000000000 -0.0000301044 -0.4999811724 -0.0000224666 -0.0000224666 0.0000000000 2.4725974793 59.9999999049 -0.0000814505 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000001082 -0.0000007183 1.1422012592 0.0047291161
0.0160000000 0.0093731846 0.0054116106 0.0174126308 3000.0000000000 0.0000000000 3000.0000000000 -0.0000336537 -0.4999786327 -0.0000267296 -0.0000267296 0.0000000000 2.4878537594 59.9999998803 -0.0000914179 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000001180 -0.0000007902 1.1396180191 0.0050099442
0.0170000000 0.0102649396 0.0059264656 0.0190294250 3000.0000000000 0.0000000000 3000.0000000000 -0.0000377409 -0.4999758420 -0.0000315596 -0.0000315596 0.0000000000 2.4923992939 59.9999998512 -0.0001027460 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000001284 -0.0000008664 1.1383202613 0.0053111812
0.0180000000 0.0112107339 0.0064725202 0.0207444912 3000.0000000000 0.0000000000 3000.0000000000 -0.0000424233 -0.4999727831 -0.0000370122 -0.0000370122 0.0000000000 2.4879138021 59.9999998169 -0.0001155692 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000001394 -0.0000009471 1.1381011570 0.0056328344
0.0190000000 0.0122135811 0.0070515143 0.0225638569 3000.0000000000 0.0000000000 3000.0000000000 -0.0000477628 -0.4999694392 -0.0000431465 -0.0000431465 0.0000000000 2.4758997835 59.9999997768 -0.0001300308 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000001511 -0.0000010328 1.1387866827 0.0059749120
0.0200000000 0.0132764960 0.0076651886 0.0244935518 3000.0000000000 0.0000000000 3000.0000000000 -0.0000538257 -0.4999657934 -0.0000500259 -0.0000500259 0.0000000000 2.4576820538 59.9999997302 -0.0001462835 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000001635 -0.0000011235 1.1402301079 0.0063374223
0.0210000000 0.0144024948 0.0083152842 0.0265396081 3000.0000000000 0.0000000000 3000.0000000000 -0.0000606832 -0.4999618288 -0.0000577169 -0.0000577169 0.0000000000 2.4344150313 59.9999996764 -0.0001644890 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 30.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000001767 -0.0000012197 1.1423074670 0.0067203740
0.0220000000 0.0155945946 0.0090035434 0.0287080603 3000.0000000000 0.0000000000 3000.0000000000 -0.0000684108 -0.4999575289 -0.0000662903 -0.0000662903 0.0000000000 2.4070947609 59.9999996144 -0.0001848181 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 -0.0000001907 -0.0000013216 1.1449138305 0.0071237760
0.0230000000 0.0168558140 0.0097317088 0.0310049455 3000.0000000000 0.0000000000 3000.0000000000 -0.0000770886 -0.4999528770 -0.0000758202 -0.0000758202 0.0000000000 2.3765734435 59.9999995433 -0.0002074510 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 30.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 -0.0000002057 -0.0000014295 1.1479602284 0.0075476374
