tof posE posN posU psiRads thetaRads velE velN velU mach speed specificForceX specificForceY specificForceZ tgtE tgtN tgtU
0.0740 0.2956 0.0000 0.4718 0.0000 1.0234 7.1184 0.0000 11.6784 0.0392 13.6769 170.1994 0.0000 4.6618 3000.0000 0.0000 3000.0000
0.0760 0.3102 0.0000 0.4957 0.0000 1.0241 7.2876 0.0000 11.9738 0.0402 14.0171 170.1399 0.0000 4.6654 3000.0000 0.0000 3000.0000
0.0780 0.3251 0.0000 0.5203 0.0000 1.0247 7.4564 0.0000 12.2692 0.0412 14.3573 170.0805 0.0000 4.6688 3000.0000 0.0000 3000.0000
0.0800 0.3403 0.0000 0.5454 0.0000 1.0253 7.6251 0.0000 12.5647 0.0422 14.6973 170.0212 0.0000 4.6721 3000.0000 0.0000 3000.0000
0.0820 0.3559 0.0000 0.5711 0.0000 1.0260 7.7934 0.0000 12.8601 0.0432 15.0373 169.9619 0.0000 4.6751 3000.0000 0.0000 3000.0000
0.0840 0.3718 0.0000 0.5974 0.0000 1.0266 7.9615 0.0000 13.1556 0.0442 15.3771 169.9026 0.0000 4.6780 3000.0000 0.0000 3000.0000
0.0860 0.3881 0.0000 0.6243 0.0000 1.0272 8.1294 0.0000 13.4510 0.0452 15.7168 169.8433 0.0000 4.6807 3000.0000 0.0000 3000.0000
0.0880 0.4047 0.0000 0.6518 0.0000 1.0278 8.2970 0.0000 13.7465 0.0462 16.0563 169.7841 0.0000 4.6833 3000.0000 0.0000 3000.0000
0.0900 0.4216 0.0000 0.6799 0.0000 1.0283 8.4644 0.0000 14.0419 0.0472 16.3958 169.7248 0.0000 4.6857 3000.0000 0.0000 3000.0000
0.0920 0.4389 0.0000 0.7086 0.0000 1.0289 8.6316 0.0000 14.3374 0.0482 16.7351 169.6656 0.0000 4.6879 3000.0000 0.0000 3000.0000
0.0940 0.4565 0.0000 0.7379 0.0000 1.0294 8.7985 0.0000 14.6328 0.0492 17.0743 169.6065 0.0000 4.6900 3000.0000 0.0000 3000.0000
0.0960 0.4744 0.0000 0.7677 0.0000 1.0300 8.9652 0.0000 14.9283 0.0502 17.4134 169.5473 0.0000 4.6920 3000.0000 0.0000 3000.0000
0.0980 0.4927 0.0000 0.7982 0.0000 1.0305 9.1316 0.0000 15.2237 0.0512 17.7524 169.4881 0.0000 4.6938 3000.0000 0.0000 3000.0000
0.1000 0.5113 0.0000 0.8292 0.0000 1.0310 9.2979 0.0000 15.5191 0.0522 18.0913 169.4290 0.0000 4.6955 3000.0000 0.0000 3000.0000
