TOF E N U E_V N_V U_V U_DOT V_DOT W_DOT TGT_E TGT_N TGT_U LETHALITY
0.0 0.0 0.0 0.0 150.0 50.0 300.0 0.0 0.0 0.0 3000.0 0.0 3000.0 flying
0.01 1.5000004430094684 0.49999884300815517 3.000000585693842 150.22060645274274 49.85888330381431 299.81348842244944 -8.833292350386092 -20.34504249802506 -23.28296615330113 3000.0 0.0 3000.0 flying
0.02 3.0022084500685726 0.9985863819437625 5.9981353272047 150.44070076642134 49.71790973857859 299.6268467463078 -8.837168403921474 -20.294153526358713 -23.279212722314064 3000.0 0.0 3000.0 flying
0.03 4.506618898988637 1.4957640494384659 8.994402921356139 150.6602829134352 49.577079709070816 299.4400761641341 -8.841033601351413 -20.243379860518033 -23.27525611172916 3000.0 0.0 3000.0 flying
0.04 6.013226664500521 1.991533281472656 11.988802079932846 150.87935286782425 49.4363936180672 299.2531778685749 -8.844887953716933 -20.192721424018977 -23.27109757266053 3000.0 0.0 3000.0 flying
0.05 7.522026623425366 2.4858955190920273 14.981331524750045 151.09791060800123 49.29585186634324 299.0661530509752 -8.848731472136137 -20.142178137275927 -23.266738351417306 3000.0 0.0 3000.0 flying
0.060000000000000005 9.033013653052667 2.9788522063470277 17.97198998818168 151.31595611674032 49.15545485267086 298.87900290136156 -8.852564167803939 -20.09174991739044 -23.262179688707697 3000.0 0.0 3000.0 flying
0.07 10.546182627120235 3.4704047915262377 20.960776218147608 151.5334893811649 49.01520297381803 298.6917286084257 -8.856386051991652 -20.04143667816352 -23.257422819691392 3000.0 0.0 3000.0 flying
0.08 12.061528422200363 3.960554727339398 23.947688970933196 151.75051039273683 48.87509662454671 298.5043313595074 -8.860197136046592 -19.99123833020546 -23.252468974114898 3000.0 0.0 3000.0 flying
0.09 13.579045913319694 4.449303469654725 26.932727016623197 151.96701914724287 48.73513619761237 298.3168123405785 -8.863997431391686 -19.94115478095834 -23.24731937612423 3000.0 0.0 3000.0 flying
0.09999999999999999 15.098729976927784 4.9366524789336275 29.91588913616122 152.18301564478506 48.595322083762184 298.12917273622594 -8.867786949525104 -19.891185934751682 -23.241975244432165 3000.0 0.0 3000.0 flying
0.10999999999999999 16.620575487160156 5.422603220139164 32.897174124501596 152.39849988976698 48.45565467173417 297.9414137296356 -8.871565702019822 -19.84133169287359 -23.236437792234685 3000.0 0.0 3000.0 flying
0.11999999999999998 18.1445773194878 5.907157160576738 35.87658078682407 152.61347189088266 48.31613434825546 297.753536502576 -8.875333700523239 -19.791591953637255 -23.23070822732144 3000.0 0.0 3000.0 flying
0.12999999999999998 19.67073034983987 6.390315772126683 38.854107939622224 152.8279316611044 48.176761498042616 297.56554223538194 -8.879090956756816 -19.741966612366642 -23.22478775199721 3000.0 0.0 3000.0 flying
0.13999999999999999 21.199029454505563 6.872080530563447 41.829754410825274 153.04187921767073 48.03753650379915 297.3774321069384 -8.882837482515617 -19.69245556150458 -23.218677563107146 3000.0 0.0 3000.0 flying
0.15 22.72946950839244 7.352452915954569 44.80351904195867 153.25531458207274 47.89845974621565 297.1892072946649 -8.886573289667972 -19.64305869064937 -23.21237885205892 3000.0 0.0 3000.0 flying
0.16 24.262045388534435 7.831434411163763 47.77540068527643 153.46823778004392 47.75953160396802 297.0008689744992 -8.89029839015502 -19.593775886626133 -23.20589280489234 3000.0 0.0 3000.0 flying
0.17 25.796751971063728 8.309026503384512 50.745398204549716 153.68064884154668 47.62075245371776 296.8124183208814 -8.894012795990353 -19.544607033490042 -23.1992206022146 3000.0 0.0 3000.0 flying
0.18000000000000002 27.33358413106095 8.785230683876375 53.71351047747871 153.89254780075976 47.48212267010976 296.6238565067382 -8.897716519259605 -19.495552012611725 -23.192363419248295 3000.0 0.0 3000.0 flying
0.19000000000000003 28.87253674784562 9.260048447222266 56.67973638912955 154.10393469606697 47.34364262577289 296.4351847034671 -8.901409572120032 -19.446610702734706 -23.185322425896302 3000.0 0.0 3000.0 flying
0.20000000000000004 30.413604697417995 9.733481291335549 59.644074840568734 154.31480957004248 47.20531269131838 296.2464040809213 -8.90509196680015 -19.39778297997405 -23.17809878658205 3000.0 0.0 3000.0 flying
0.21000000000000005 31.95678285747457 10.20553071896811 62.606524742641255 154.5251724694406 47.06713323533992 296.05751580739354 -8.908763715599289 -19.349068717907294 -23.170693660507087 3000.0 0.0 3000.0 flying
0.22000000000000006 33.502066106633734 10.676198235631428 65.56708501841511 154.73502344518155 46.92910462441236 295.8685210496011 -8.912424830887211 -19.300467787624317 -23.163108201484505 3000.0 0.0 3000.0 flying
0.23000000000000007 35.04944932201026 11.145485351148439 68.5257546032226 154.94436255233947 46.79122722309182 295.67942097267 -8.916075325103733 -19.25198005774076 -23.155343558024754 3000.0 0.0 3000.0 flying
0.24000000000000007 36.598927386517076 11.613393577775959 71.48253244005367 155.1531898501296 46.65350139391448 295.4902167401201 -8.919715210758271 -19.203605394476483 -23.147400873365083 3000.0 0.0 3000.0 flying
0.25000000000000006 38.15049517711545 12.079924432861882 74.43741748893886 155.3615054018942 46.51592749739736 295.30090951385034 -8.923344500429486 -19.155343661639815 -23.139281285335525 3000.0 0.0 3000.0 flying
0.26000000000000006 39.704147574221125 12.5450794365685 77.39040872047417 155.5693092750915 46.378505892036365 295.1115004541228 -8.926963206764844 -19.107194720774924 -23.130985926657097 3000.0 0.0 3000.0 flying
0.2700000000000001 41.25987946005519 13.008860113007431 80.3415051141569 155.77660154128222 46.24123693430737 294.92199071954786 -8.93057134248022 -19.05915843112654 -23.122515924753184 3000.0 0.0 3000.0 flying
