TOF E N U E_V N_V U_V U_DOT V_DOT W_DOT TGT_E TGT_N TGT_U LETHALITY
0.0 0.0 0.0 0.0 150.0 50.0 300.0 0.0 0.0 0.0 3000.0 0.0 3000.0 flying
0.01 1.5 0.5 3.0 150.29713304003133 49.859252770511475 299.87489135156574 0.0 -22.748626332154654 -26.83281572999747 3000.0 0.0 3000.0 flying
0.02 3.0029713304003134 0.9985925277051148 5.998748913515657 150.59379716264417 49.71859753152546 299.7495897572205 0.0 -22.69100578744428 -26.833898911772163 3000.0 0.0 3000.0 flying
0.03 4.508909302026755 1.4957785030203694 8.996244811087863 150.88999195976183 49.57803488122973 299.624096603451 0.0 -22.633525571509605 -26.834697717905502 3000.0 0.0 3000.0 flying
0.04 6.017809221624373 1.9915588518326668 11.992485777122372 151.1857170290299 49.43756541585218 299.4984132765864 0.0 -22.57618554940127 -26.83521390872678 3000.0 0.0 3000.0 flying
0.05 7.529666391914672 2.485934505991189 14.987469909888237 151.48097197380767 49.29718972965454 299.37254116277126 0.0 -22.51898558103853 -26.835449235587046 3000.0 0.0 3000.0 flying
0.060000000000000005 9.044476111652749 2.978906403287734 17.981195321515948 151.77575640315962 49.156908414926235 299.2464816479383 0.0 -22.461925521313475 -26.83540544088688 3000.0 0.0 3000.0 flying
0.07 10.562233675684345 3.4704754874369965 20.97366013799533 152.07006993184658 49.01672206197825 299.1202361177813 0.0 -22.405005220193587 -26.835084258105002 3000.0 0.0 3000.0 flying
0.08 12.08293437500281 3.960642708056779 23.964862499173144 152.36391218031685 48.87663125913711 298.99380595772817 0.0 -22.348224522823017 -26.834487411827183 3000.0 0.0 3000.0 flying
0.09 13.606573496805979 4.44940902064815 26.954800558750424 152.65728277469717 48.73663659273895 298.867192552914 0.0 -22.29158326962219 -26.833616617775856 3000.0 0.0 3000.0 flying
0.09999999999999999 15.13314632455295 4.9367753865755395 29.943472484279564 152.95018134678344 48.5967386471236 298.7403972881542 0.0 -22.235081296386177 -26.832473582840066 3000.0 0.0 3000.0 flying
0.10999999999999999 16.662648138020785 5.422742773046775 32.930876457161105 153.2426075340315 48.456938004628846 298.613421547918 0.0 -22.17871843438142 -26.83106000510598 3000.0 0.0 3000.0 flying
0.11999999999999998 18.1950742133611 5.907312153093064 35.91701067264029 153.53456097954756 48.31723524558466 298.4862667163015 0.0 -22.122494510441133 -26.829377573887776 3000.0 0.0 3000.0 flying
0.12999999999999998 19.730419823156574 6.39048450554891 38.9018733398033 153.82604133207863 48.17763094830761 298.3589341770014 0.0 -22.066409347059377 -26.8274279697591 3000.0 0.0 3000.0 flying
0.13999999999999999 21.26868023647736 6.872260815031987 41.885462681573316 154.1170482460027 48.03812568909526 298.2314253132884 0.0 -22.010462762483613 -26.82521286458477 3000.0 0.0 3000.0 flying
0.15 22.809850718937387 7.352642071922939 44.8677769347062 154.40758138131892 47.8987200422207 298.10374150798094 0.0 -21.954654570805936 -26.82273392155302 3000.0 0.0 3000.0 flying
0.16 24.353926532750577 7.831629272345146 47.84881434978601 154.69764040363754 47.75941457992715 297.9758841434189 0.0 -21.898984582052957 -26.81999279520795 3000.0 0.0 3000.0 flying
0.17 25.900902936786952 8.309223418144418 50.8285731912202 154.98722498416967 47.62020987242261 297.8478546014374 0.0 -21.84345260227439 -26.816991131482666 3000.0 0.0 3000.0 flying
0.18000000000000002 27.45077518662865 8.785425516868644 53.80705173723457 155.27633479971706 47.481106487874634 297.71965426334083 0.0 -21.788058433630205 -26.813730567732346 3000.0 0.0 3000.0 flying
0.19000000000000003 29.00353853462582 9.26023658174739 56.78424827986798 155.56496953266165 47.34210499240511 297.59128450987686 0.0 -21.732801874476575 -26.810212732767987 3000.0 0.0 3000.0 flying
0.20000000000000004 30.55918822995244 9.733657631671441 59.76016112496675 155.85312887095492 47.20320595008523 297.46274672121046 0.0 -21.67768271945047 -26.806439246890232 3000.0 0.0 3000.0 flying
0.21000000000000005 32.11771951866199 10.205689691172294 62.73478859217885 156.14081250810725 47.06440992293039 297.3340422768983 0.0 -21.622700759553013 -26.80241172192372 3000.0 0.0 3000.0 flying
0.22000000000000006 33.679127643743065 10.676333790401598 65.70812901494783 156.4280201431771 46.925717470895314 297.20517255586293 0.0 -21.567855782231497 -26.79813176125147 3000.0 0.0 3000.0 flying
