tof posX posY posZ tgtX tgtY tgtZ normAch pitchRate alpha theta sideAch yawRate beta psi rollRate phi
0.0220000000 0.0169213893 0.0061588820 0.0287077817 5000.0000000000 0.0000000000 3000.0000000000 -0.4999622045 -0.0000010393 0.0425020890 1.0471975451 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0230000000 0.0182899075 0.0066569819 0.0310046246 5000.0000000000 0.0000000000 3000.0000000000 -0.4999580226 -0.0000011875 0.0420251316 1.0471975440 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0240000000 0.0197367015 0.0071835719 0.0334359375 5000.0000000000 0.0000000000 3000.0000000000 -0.4999534947 -0.0000013519 0.0414922854 1.0471975427 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0250000000 0.0212650494 0.0077398450 0.0360077621 5000.0000000000 0.0000000000 3000.0000000000 -0.4999486046 -0.0000015339 0.0409161879 1.0471975412 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0260000000 0.0228782302 0.0083269948 0.0387261428 5000.0000000000 0.0000000000 3000.0000000000 -0.4999433360 -0.0000017349 0.0403075031 1.0471975396 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0270000000 0.0245795245 0.0089462153 0.0415971264 5000.0000000000 0.0000000000 3000.0000000000 -0.4999376727 -0.0000019563 0.0396751764 1.0471975378 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0280000000 0.0263722142 0.0095987010 0.0446267621 5000.0000000000 0.0000000000 3000.0000000000 -0.4999315990 -0.0000021999 0.0390266691 1.0471975357 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0290000000 0.0282595822 0.0102856468 0.0478211014 5000.0000000000 0.0000000000 3000.0000000000 -0.4999250991 -0.0000024670 0.0383681699 1.0471975333 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0300000000 0.0302449132 0.0110082481 0.0511861985 5000.0000000000 0.0000000000 3000.0000000000 -0.4999181575 -0.0000027594 0.0377047824 1.0471975307 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0310000000 0.0323314927 0.0117677010 0.0547281099 5000.0000000000 0.0000000000 3000.0000000000 -0.4999107590 -0.0000030788 0.0370406900 1.0471975278 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0320000000 0.0345226080 0.0125652017 0.0584528944 5000.0000000000 0.0000000000 3000.0000000000 -0.4999028887 -0.0000034271 0.0363792979 1.0471975246 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0330000000 0.0368215475 0.0134019473 0.0623666136 5000.0000000000 0.0000000000 3000.0000000000 -0.4998945319 -0.0000038061 0.0357233566 1.0471975209 0.0000000000 0.0000000000 -0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0340000000 0.0392316008 0.0142791349 0.0664753312 5000.0000000000 0.0000000000 3000.0000000000 -0.4998856741 -0.0000042177 0.0350750668 1.0471975169 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0350000000 0.0417560590 0.0151979626 0.0707851134 5000.0000000000 0.0000000000 3000.0000000000 -0.4998763011 -0.0000046638 0.0344361690 1.0471975125 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0360000000 0.0443982146 0.0161596286 0.0753020290 5000.0000000000 0.0000000000 3000.0000000000 -0.4998663992 -0.0000051467 0.0338080197 1.0471975076 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0370000000 0.0471613610 0.0171653316 0.0800321492 5000.0000000000 0.0000000000 3000.0000000000 -0.4998559550 -0.0000056684 0.0331916559 1.0471975022 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0380000000 0.0500487935 0.0182162711 0.0849815476 5000.0000000000 0.0000000000 3000.0000000000 -0.4998449554 -0.0000062310 0.0325878490 1.0471974962 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0390000000 0.0530638082 0.0193136467 0.0901563002 5000.0000000000 0.0000000000 3000.0000000000 -0.4998333876 -0.0000068370 0.0319971511 1.0471974897 -0.0000000000 0.0000000000 0.0000000000 0.3490658504 0.0000000000 0.0000000000
0.0400000000 0.0562097029 0.0204586587 0.0955624855 5000.0000000000 0.0000000000 3000.0000000000 -0.4998212395 -0.0000074884 0.0314199334 1.0471974825 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 0.0000000000
0.0410000000 0.0594897766 0.0216525079 0.1012061844 5000.0000000000 0.0000000000 3000.0000000000 -0.4998084994 -0.0000081879 0.0308564179 1.0471974747 0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 0.0000000000
0.0420000000 0.0629073295 0.0228963954 0.1070934805 5000.0000000000 0.0000000000 3000.0000000000 -0.4997951557 -0.0000089377 0.0303067053 1.0471974661 0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 0.0000000000
0.0430000000 0.0664656632 0.0241915230 0.1132304595 5000.0000000000 0.0000000000 3000.0000000000 -0.4997811979 -0.0000097406 0.0297707972 1.0471974568 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 0.0000000000
0.0440000000 0.0701680808 0.0255390928 0.1196232097 5000.0000000000 0.0000000000 3000.0000000000 -0.4997666155 -0.0000105989 0.0292486151 1.0471974466 0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 0.0000000000
0.0450000000 0.0740178864 0.0269403075 0.1262778220 5000.0000000000 0.0000000000 3000.0000000000 -0.4997513988 -0.0000115154 0.0287400161 1.0471974356 0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 0.0000000000
0.0460000000 0.0780183858 0.0283963702 0.1332003895 5000.0000000000 0.0000000000 3000.0000000000 -0.4997355388 -0.0000124928 0.0282448066 1.0471974236 0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 0.0000000000
0.0470000000 0.0821728858 0.0299084845 0.1403970080 5000.0000000000 0.0000000000 3000.0000000000 -0.4997190269 -0.0000135338 0.0277627526 1.0471974106 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 0.0000000000
0.0480000000 0.0864846947 0.0314778546 0.1478737755 5000.0000000000 0.0000000000 3000.0000000000 -0.4997018552 -0.0000146414 0.0272935896 1.0471973965 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 0.0000000000
0.0490000000 0.0909571220 0.0331056850 0.1556367926 5000.0000000000 0.0000000000 3000.0000000000 -0.4996840165 -0.0000158184 0.0268370294 1.0471973812 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 0.0000000000
0.0500000000 0.0955934788 0.0347931809 0.1636921625 5000.0000000000 0.0000000000 3000.0000000000 -0.4996655044 -0.0000170679 0.0263927669 1.0471973648 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0510000000 0.1003938453 0.0365403714 0.1720400337 5000.0000000000 0.0000000000 3000.0000000000 -0.4996463493 -0.0000183929 0.0259604852 1.0471973471 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0520000000 0.1053583021 0.0383472859 0.1806805550 5000.0000000000 0.0000000000 3000.0000000000 -0.4996262259 -0.0000197973 0.0255578075 1.0471973280 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0530000000 0.1104869297 0.0402139537 0.1896138750 5000.0000000000 0.0000000000 3000.0000000000 -0.4996056931 -0.0000212848 0.0251817667 1.0471973074 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0540000000 0.1157798085 0.0421404040 0.1988401424 5000.0000000000 0.0000000000 3000.0000000000 -0.4995847625 -0.0000228575 0.0248297793 1.0471972854 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0550000000 0.1212370190 0.0441266662 0.2083595061 5000.0000000000 0.0000000000 3000.0000000000 -0.4995634449 -0.0000245175 0.0244995858 1.0471972617 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0560000000 0.1268586416 0.0461727695 0.2181721147 5000.0000000000 0.0000000000 3000.0000000000 -0.4995417515 -0.0000262673 0.0241892008 1.0471972363 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0570000000 0.1326447570 0.0482787433 0.2282781171 5000.0000000000 0.0000000000 3000.0000000000 -0.4995196937 -0.0000281089 0.0238968730 1.0471972091 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0580000000 0.1385954455 0.0504446168 0.2386776620 5000.0000000000 0.0000000000 3000.0000000000 -0.4994972834 -0.0000300447 0.0236210515 1.0471971800 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0590000000 0.1447107878 0.0526704193 0.2493708984 5000.0000000000 0.0000000000 3000.0000000000 -0.4994745325 -0.0000320768 0.0233603581 1.0471971489 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0600000000 0.1509908642 0.0549561802 0.2603579750 5000.0000000000 0.0000000000 3000.0000000000 -0.4994514536 -0.0000342076 0.0231135639 1.0471971158 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0610000000 0.1574357555 0.0573019288 0.2716390409 5000.0000000000 0.0000000000 3000.0000000000 -0.4994280594 -0.0000364392 0.0228795693 1.0471970805 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0620000000 0.1640455421 0.0597076944 0.2832142448 5000.0000000000 0.0000000000 3000.0000000000 -0.4994043631 -0.0000387740 0.0226573880 1.0471970429 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0630000000 0.1708203047 0.0621735063 0.2950837358 5000.0000000000 0.0000000000 3000.0000000000 -0.4993803782 -0.0000412142 0.0224461322 1.0471970029 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0640000000 0.1777601237 0.0646993938 0.3072476628 5000.0000000000 0.0000000000 3000.0000000000 -0.4993561183 -0.0000437621 0.0222450010 1.0471969604 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0650000000 0.1848650797 0.0672853864 0.3197061747 5000.0000000000 0.0000000000 3000.0000000000 -0.4993315977 -0.0000464198 0.0220532699 1.0471969153 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0660000000 0.1921352534 0.0699315132 0.3324594207 5000.0000000000 0.0000000000 3000.0000000000 -0.4993068308 -0.0000491898 0.0218702818 1.0471968675 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
