TOF EAST NORTH UP EAST_V NORTH_V UP_V EAST_A NORTH_A UP_A tgtE tgtN tgtU
5.528 1840.74 2044.49 4857.21 241.239 398.393 932.516 9.77072 28.5069 -14.7065 5000 10000 12500
5.529 1840.99 2044.89 4858.14 241.249 398.422 932.502 9.77133 28.51 -14.7092 5000 10000 12500
5.53 1841.23 2045.28 4859.07 241.259 398.45 932.487 9.77194 28.5132 -14.7119 5000 10000 12500
5.531 1841.47 2045.68 4860 241.268 398.479 932.472 9.77254 28.5164 -14.7146 5000 10000 12500
5.532 1841.71 2046.08 4860.94 241.278 398.507 932.457 9.77315 28.5195 -14.7173 5000 10000 12500
5.533 1841.95 2046.48 4861.87 241.288 398.536 932.443 9.77376 28.5227 -14.72 5000 10000 12500
5.534 1842.19 2046.88 4862.8 241.298 398.564 932.428 9.77436 28.5259 -14.7228 5000 10000 12500
5.535 1842.43 2047.28 4863.73 241.308 398.593 932.413 9.77496 28.529 -14.7255 5000 10000 12500
5.536 1842.67 2047.68 4864.67 241.317 398.621 932.399 9.77557 28.5322 -14.7282 5000 10000 12500
5.537 1842.92 2048.07 4865.6 241.327 398.65 932.384 9.77617 28.5353 -14.7309 5000 10000 12500
5.538 1843.16 2048.47 4866.53 241.337 398.678 932.369 9.77677 28.5385 -14.7336 5000 10000 12500
5.539 1843.4 2048.87 4867.46 241.347 398.707 932.354 9.77737 28.5416 -14.7363 5000 10000 12500
5.54 1843.64 2049.27 4868.4 241.356 398.735 932.34 9.77797 28.5448 -14.739 5000 10000 12500
5.541 1843.88 2049.67 4869.33 241.366 398.764 932.325 9.77857 28.548 -14.7418 5000 10000 12500
5.542 1844.12 2050.07 4870.26 241.376 398.793 932.31 9.77916 28.5511 -14.7445 5000 10000 12500
5.543 1844.36 2050.47 4871.19 241.386 398.821 932.295 9.77976 28.5543 -14.7472 5000 10000 12500
5.544 1844.61 2050.87 4872.13 241.396 398.85 932.281 9.78036 28.5574 -14.7499 5000 10000 12500
5.545 1844.85 2051.26 4873.06 241.405 398.878 932.266 9.78095 28.5606 -14.7526 5000 10000 12500
5.546 1845.09 2051.66 4873.99 241.415 398.907 932.251 9.78154 28.5637 -14.7553 5000 10000 12500
5.547 1845.33 2052.06 4874.92 241.425 398.935 932.236 9.78214 28.5669 -14.758 5000 10000 12500
5.548 1845.57 2052.46 4875.85 241.435 398.964 932.222 9.78273 28.57 -14.7608 5000 10000 12500
5.549 1845.81 2052.86 4876.79 241.444 398.992 932.207 9.78332 28.5732 -14.7635 5000 10000 12500
5.55 1846.05 2053.26 4877.72 241.454 399.021 932.192 9.78391 28.5763 -14.7662 5000 10000 12500
5.551 1846.3 2053.66 4878.65 241.464 399.05 932.177 9.7845 28.5795 -14.7689 5000 10000 12500
5.552 1846.54 2054.06 4879.58 241.474 399.078 932.163 9.78509 28.5826 -14.7716 5000 10000 12500
5.553 1846.78 2054.46 4880.51 241.484 399.107 932.148 9.78568 28.5858 -14.7743 5000 10000 12500
5.554 1847.02 2054.86 4881.45 241.493 399.135 932.133 9.78627 28.5889 -14.777 5000 10000 12500
5.555 1847.26 2055.25 4882.38 241.503 399.164 932.118 9.78685 28.592 -14.7797 5000 10000 12500
5.556 1847.5 2055.65 4883.31 241.513 399.193 932.103 9.78744 28.5952 -14.7825 5000 10000 12500
5.557 1847.74 2056.05 4884.24 241.523 399.221 932.089 9.78802 28.5983 -14.7852 5000 10000 12500
5.558 1847.99 2056.45 4885.18 241.533 399.25 932.074 9.78861 28.6015 -14.7879 5000 10000 12500
5.559 1848.23 2056.85 4886.11 241.542 399.278 932.059 9.78919 28.6046 -14.7906 5000 10000 12500
5.56 1848.47 2057.25 4887.04 241.552 399.307 932.044 9.78977 28.6077 -14.7933 5000 10000 12500
5.561 1848.71 2057.65 4887.97 241.562 399.336 932.029 9.79035 28.6109 -14.796 5000 10000 12500
5.562 1848.95 2058.05 4888.9 241.572 399.364 932.015 9.79093 28.614 -14.7987 5000 10000 12500
5.563 1849.19 2058.45 4889.84 241.582 399.393 932 9.79151 28.6171 -14.8014 5000 10000 12500
5.564 1849.44 2058.85 4890.77 241.591 399.421 931.985 9.79209 28.6203 -14.8041 5000 10000 12500
5.565 1849.68 2059.25 4891.7 241.601 399.45 931.97 9.79267 28.6234 -14.8069 5000 10000 12500
5.566 1849.92 2059.65 4892.63 241.611 399.479 931.955 9.79325 28.6266 -14.8096 5000 10000 12500
5.567 1850.16 2060.05 4893.56 241.621 399.507 931.941 9.79382 28.6297 -14.8123 5000 10000 12500
5.568 1850.4 2060.45 4894.5 241.63 399.536 931.926 9.7944 28.6328 -14.815 5000 10000 12500
5.569 1850.64 2060.85 4895.43 241.64 399.565 931.911 9.79497 28.6359 -14.8177 5000 10000 12500
5.57 1850.89 2061.25 4896.36 241.65 399.593 931.896 9.79555 28.6391 -14.8204 5000 10000 12500
5.571 1851.13 2061.65 4897.29 241.66 399.622 931.881 9.79612 28.6422 -14.8231 5000 10000 12500
5.572 1851.37 2062.04 4898.22 241.67 399.65 931.867 9.79669 28.6453 -14.8258 5000 10000 12500
5.573 1851.61 2062.44 4899.15 241.679 399.679 931.852 9.79726 28.6485 -14.8285 5000 10000 12500
5.574 1851.85 2062.84 4900.09 241.689 399.708 931.837 9.79783 28.6516 -14.8312 5000 10000 12500
5.575 1852.09 2063.24 4901.02 241.699 399.736 931.822 9.7984 28.6547 -14.8339 5000 10000 12500
5.576 1852.34 2063.64 4901.95 241.709 399.765 931.807 9.79897 28.6578 -14.8367 5000 10000 12500
5.577 1852.58 2064.04 4902.88 241.719 399.794 931.792 9.79954 28.661 -14.8394 5000 10000 12500
5.578 1852.82 2064.44 4903.81 241.728 399.822 931.778 9.80011 28.6641 -14.8421 5000 10000 12500
5.579 1853.06 2064.84 4904.75 241.738 399.851 931.763 9.80067 28.6672 -14.8448 5000 10000 12500
5.58 1853.3 2065.24 4905.68 241.748 399.88 931.748 9.80124 28.6703 -14.8475 5000 10000 12500
5.581 1853.54 2065.64 4906.61 241.758 399.908 931.733 9.8018 28.6735 -14.8502 5000 10000 12500
5.582 1853.79 2066.04 4907.54 241.768 399.937 931.718 9.80237 28.6766 -14.8529 5000 10000 12500
5.583 1854.03 2066.44 4908.47 241.777 399.966 931.703 9.80293 28.6797 -14.8556 5000 10000 12500
5.584 1854.27 2066.84 4909.4 241.787 399.994 931.688 9.80349 28.6828 -14.8583 5000 10000 12500
5.585 1854.51 2067.24 4910.34 241.797 400.023 931.674 9.80405 28.6859 -14.861 5000 10000 12500
5.586 1854.75 2067.64 4911.27 241.807 400.052 931.659 9.80462 28.689 -14.8637 5000 10000 12500
5.587 1854.99 2068.04 4912.2 241.817 400.08 931.644 9.80518 28.6922 -14.8664 5000 10000 12500
5.588 1855.24 2068.44 4913.13 241.826 400.109 931.629 9.80573 28.6953 -14.8691 5000 10000 12500
5.589 1855.48 2068.84 4914.06 241.836 400.138 931.614 9.80629 28.6984 -14.8719 5000 10000 12500
5.59 1855.72 2069.24 4914.99 241.846 400.167 931.599 9.80685 28.7015 -14.8746 5000 10000 12500
5.591 1855.96 2069.64 4915.93 241.856 400.195 931.584 9.80741 28.7046 -14.8773 5000 10000 12500
5.592 1856.2 2070.04 4916.86 241.866 400.224 931.569 9.80796 28.7077 -14.88 5000 10000 12500
5.593 1856.45 2070.44 4917.79 241.876 400.253 931.555 9.80852 28.7108 -14.8827 5000 10000 12500
5.594 1856.69 2070.84 4918.72 241.885 400.281 931.54 9.80907 28.7139 -14.8854 5000 10000 12500
5.595 1856.93 2071.24 4919.65 241.895 400.31 931.525 9.80962 28.7171 -14.8881 5000 10000 12500
5.596 1857.17 2071.64 4920.58 241.905 400.339 931.51 9.81018 28.7202 -14.8908 5000 10000 12500
5.597 1857.41 2072.04 4921.52 241.915 400.368 931.495 9.81073 28.7233 -14.8935 5000 10000 12500
5.598 1857.66 2072.45 4922.45 241.925 400.396 931.48 9.81128 28.7264 -14.8962 5000 10000 12500
5.599 1857.9 2072.85 4923.38 241.934 400.425 931.465 9.81183 28.7295 -14.8989 5000 10000 12500
5.6 1858.14 2073.25 4924.31 241.944 400.454 931.45 9.81238 28.7326 -14.9016 5000 10000 12500
5.601 1858.38 2073.65 4925.24 241.954 400.482 931.435 9.81293 28.7357 -14.9043 5000 10000 12500
5.602 1858.62 2074.05 4926.17 241.964 400.511 931.421 9.81348 28.7388 -14.907 5000 10000 12500
5.603 1858.86 2074.45 4927.1 241.974 400.54 931.406 9.81402 28.7419 -14.9097 5000 10000 12500
5.604 1859.11 2074.85 4928.04 241.983 400.569 931.391 9.81457 28.745 -14.9124 5000 10000 12500
5.605 1859.35 2075.25 4928.97 241.993 400.597 931.376 9.81511 28.7481 -14.9151 5000 10000 12500
5.606 1859.59 2075.65 4929.9 242.003 400.626 931.361 9.81566 28.7512 -14.9179 5000 10000 12500
5.607 1859.83 2076.05 4930.83 242.013 400.655 931.346 9.8162 28.7543 -14.9206 5000 10000 12500
5.608 1860.07 2076.45 4931.76 242.023 400.684 931.331 9.81675 28.7574 -14.9233 5000 10000 12500
5.609 1860.32 2076.85 4932.69 242.033 400.712 931.316 9.81729 28.7605 -14.926 5000 10000 12500
5.61 1860.56 2077.25 4933.62 242.042 400.741 931.301 9.81783 28.7636 -14.9287 5000 10000 12500
5.611 1860.8 2077.65 4934.55 242.052 400.77 931.286 9.81837 28.7667 -14.9314 5000 10000 12500
5.612 1861.04 2078.05 4935.49 242.062 400.799 931.271 9.81891 28.7698 -14.9341 5000 10000 12500
5.613 1861.29 2078.45 4936.42 242.072 400.828 931.256 9.81945 28.7729 -14.9368 5000 10000 12500
5.614 1861.53 2078.86 4937.35 242.082 400.856 931.241 9.81999 28.776 -14.9395 5000 10000 12500
5.615 1861.77 2079.26 4938.28 242.091 400.885 931.227 9.82053 28.7791 -14.9422 5000 10000 12500
5.616 1862.01 2079.66 4939.21 242.101 400.914 931.212 9.82106 28.7822 -14.9449 5000 10000 12500
5.617 1862.25 2080.06 4940.14 242.111 400.943 931.197 9.8216 28.7853 -14.9476 5000 10000 12500
5.618 1862.5 2080.46 4941.07 242.121 400.971 931.182 9.82213 28.7884 -14.9503 5000 10000 12500
5.619 1862.74 2080.86 4942 242.131 401 931.167 9.82267 28.7914 -14.953 5000 10000 12500
5.62 1862.98 2081.26 4942.94 242.141 401.029 931.152 9.8232 28.7945 -14.9557 5000 10000 12500
5.621 1863.22 2081.66 4943.87 242.15 401.058 931.137 9.82373 28.7976 -14.9584 5000 10000 12500
5.622 1863.46 2082.06 4944.8 242.16 401.087 931.122 9.82427 28.8007 -14.9611 5000 10000 12500
5.623 1863.71 2082.46 4945.73 242.17 401.115 931.107 9.8248 28.8038 -14.9638 5000 10000 12500
5.624 1863.95 2082.87 4946.66 242.18 401.144 931.092 9.82533 28.8069 -14.9665 5000 10000 12500
5.625 1864.19 2083.27 4947.59 242.19 401.173 931.077 9.82586 28.81 -14.9692 5000 10000 12500
5.626 1864.43 2083.67 4948.52 242.199 401.202 931.062 9.82639 28.8131 -14.9719 5000 10000 12500
5.627 1864.68 2084.07 4949.45 242.209 401.231 931.047 9.82691 28.8161 -14.9746 5000 10000 12500
5.628 1864.92 2084.47 4950.38 242.219 401.259 931.032 9.82744 28.8192 -14.9773 5000 10000 12500
5.629 1865.16 2084.87 4951.32 242.229 401.288 931.017 9.82797 28.8223 -14.98 5000 10000 12500
5.63 1865.4 2085.27 4952.25 242.239 401.317 931.002 9.82849 28.8254 -14.9827 5000 10000 12500
5.631 1865.64 2085.67 4953.18 242.249 401.346 930.987 9.82902 28.8285 -14.9854 5000 10000 12500
5.632 1865.89 2086.08 4954.11 242.258 401.375 930.972 9.82954 28.8315 -14.9881 5000 10000 12500
5.633 1866.13 2086.48 4955.04 242.268 401.404 930.957 9.83007 28.8346 -14.9908 5000 10000 12500
5.634 1866.37 2086.88 4955.97 242.278 401.432 930.942 9.83059 28.8377 -14.9935 5000 10000 12500
5.635 1866.61 2087.28 4956.9 242.288 401.461 930.927 9.83111 28.8408 -14.9963 5000 10000 12500
5.636 1866.86 2087.68 4957.83 242.298 401.49 930.912 9.83163 28.8439 -14.999 5000 10000 12500
5.637 1867.1 2088.08 4958.76 242.308 401.519 930.897 9.83215 28.8469 -15.0017 5000 10000 12500
5.638 1867.34 2088.48 4959.69 242.317 401.548 930.882 9.83267 28.85 -15.0044 5000 10000 12500
5.639 1867.58 2088.89 4960.62 242.327 401.577 930.867 9.83319 28.8531 -15.0071 5000 10000 12500
5.64 1867.82 2089.29 4961.56 242.337 401.606 930.852 9.83371 28.8562 -15.0098 5000 10000 12500
5.641 1868.07 2089.69 4962.49 242.347 401.634 930.837 9.83423 28.8592 -15.0125 5000 10000 12500
5.642 1868.31 2090.09 4963.42 242.357 401.663 930.822 9.83474 28.8623 -15.0152 5000 10000 12500
5.643 1868.55 2090.49 4964.35 242.367 401.692 930.807 9.83526 28.8654 -15.0179 5000 10000 12500
5.644 1868.79 2090.89 4965.28 242.376 401.721 930.792 9.83578 28.8685 -15.0206 5000 10000 12500
5.645 1869.04 2091.3 4966.21 242.386 401.75 930.777 9.83629 28.8715 -15.0233 5000 10000 12500
5.646 1869.28 2091.7 4967.14 242.396 401.779 930.762 9.8368 28.8746 -15.026 5000 10000 12500
5.647 1869.52 2092.1 4968.07 242.406 401.808 930.747 9.83732 28.8777 -15.0287 5000 10000 12500
5.648 1869.76 2092.5 4969 242.416 401.836 930.732 9.83783 28.8807 -15.0314 5000 10000 12500
5.649 1870.01 2092.9 4969.93 242.426 401.865 930.717 9.83834 28.8838 -15.0341 5000 10000 12500
5.65 1870.25 2093.3 4970.86 242.435 401.894 930.702 9.83885 28.8869 -15.0368 5000 10000 12500
5.651 1870.49 2093.71 4971.79 242.445 401.923 930.687 9.83936 28.8899 -15.0395 5000 10000 12500
5.652 1870.73 2094.11 4972.72 242.455 401.952 930.672 9.83987 28.893 -15.0422 5000 10000 12500
5.653 1870.98 2094.51 4973.66 242.465 401.981 930.657 9.84038 28.8961 -15.0449 5000 10000 12500
5.654 1871.22 2094.91 4974.59 242.475 402.01 930.642 9.84089 28.8991 -15.0476 5000 10000 12500
5.655 1871.46 2095.31 4975.52 242.485 402.039 930.627 9.84139 28.9022 -15.0503 5000 10000 12500
5.656 1871.7 2095.72 4976.45 242.495 402.068 930.612 9.8419 28.9053 -15.053 5000 10000 12500
5.657 1871.95 2096.12 4977.38 242.504 402.097 930.597 9.8424 28.9083 -15.0557 5000 10000 12500
5.658 1872.19 2096.52 4978.31 242.514 402.125 930.582 9.84291 28.9114 -15.0584 5000 10000 12500
5.659 1872.43 2096.92 4979.24 242.524 402.154 930.566 9.84341 28.9144 -15.0611 5000 10000 12500
5.66 1872.67 2097.33 4980.17 242.534 402.183 930.551 9.84392 28.9175 -15.0638 5000 10000 12500
5.661 1872.92 2097.73 4981.1 242.544 402.212 930.536 9.84442 28.9206 -15.0665 5000 10000 12500
5.662 1873.16 2098.13 4982.03 242.554 402.241 930.521 9.84492 28.9236 -15.0692 5000 10000 12500
5.663 1873.4 2098.53 4982.96 242.563 402.27 930.506 9.84542 28.9267 -15.0719 5000 10000 12500
5.664 1873.64 2098.93 4983.89 242.573 402.299 930.491 9.84592 28.9297 -15.0746 5000 10000 12500
5.665 1873.89 2099.34 4984.82 242.583 402.328 930.476 9.84642 28.9328 -15.0773 5000 10000 12500
5.666 1874.13 2099.74 4985.75 242.593 402.357 930.461 9.84692 28.9358 -15.08 5000 10000 12500
5.667 1874.37 2100.14 4986.68 242.603 402.386 930.446 9.84742 28.9389 -15.0827 5000 10000 12500
5.668 1874.61 2100.54 4987.61 242.613 402.415 930.431 9.84791 28.942 -15.0854 5000 10000 12500
5.669 1874.86 2100.95 4988.54 242.623 402.444 930.416 9.84841 28.945 -15.0881 5000 10000 12500
5.67 1875.1 2101.35 4989.47 242.632 402.473 930.401 9.84891 28.9481 -15.0908 5000 10000 12500
5.671 1875.34 2101.75 4990.4 242.642 402.502 930.386 9.8494 28.9511 -15.0935 5000 10000 12500
5.672 1875.58 2102.15 4991.34 242.652 402.531 930.37 9.8499 28.9542 -15.0962 5000 10000 12500
5.673 1875.83 2102.56 4992.27 242.662 402.559 930.355 9.85039 28.9572 -15.0989 5000 10000 12500
5.674 1876.07 2102.96 4993.2 242.672 402.588 930.34 9.85088 28.9603 -15.1016 5000 10000 12500
5.675 1876.31 2103.36 4994.13 242.682 402.617 930.325 9.85137 28.9633 -15.1043 5000 10000 12500
5.676 1876.56 2103.76 4995.06 242.691 402.646 930.31 9.85186 28.9664 -15.107 5000 10000 12500
5.677 1876.8 2104.17 4995.99 242.701 402.675 930.295 9.85236 28.9694 -15.1097 5000 10000 12500
5.678 1877.04 2104.57 4996.92 242.711 402.704 930.28 9.85285 28.9725 -15.1124 5000 10000 12500
5.679 1877.28 2104.97 4997.85 242.721 402.733 930.265 9.85333 28.9755 -15.1151 5000 10000 12500
5.68 1877.53 2105.37 4998.78 242.731 402.762 930.25 9.85382 28.9785 -15.1178 5000 10000 12500
5.681 1877.77 2105.78 4999.71 242.741 402.791 930.234 9.85431 28.9816 -15.1205 5000 10000 12500
5.682 1878.01 2106.18 5000.64 242.751 402.82 930.219 9.8548 28.9846 -15.1232 5000 10000 12500
5.683 1878.25 2106.58 5001.57 242.76 402.849 930.204 9.85528 28.9877 -15.1259 5000 10000 12500
5.684 1878.5 2106.99 5002.5 242.77 402.878 930.189 9.85577 28.9907 -15.1286 5000 10000 12500
5.685 1878.74 2107.39 5003.43 242.78 402.907 930.174 9.85625 28.9938 -15.1313 5000 10000 12500
5.686 1878.98 2107.79 5004.36 242.79 402.936 930.159 9.85674 28.9968 -15.134 5000 10000 12500
5.687 1879.23 2108.19 5005.29 242.8 402.965 930.144 9.85722 28.9998 -15.1367 5000 10000 12500
5.688 1879.47 2108.6 5006.22 242.81 402.994 930.129 9.8577 29.0029 -15.1393 5000 10000 12500
5.689 1879.71 2109 5007.15 242.82 403.023 930.113 9.85819 29.0059 -15.142 5000 10000 12500
5.69 1879.95 2109.4 5008.08 242.829 403.052 930.098 9.85867 29.009 -15.1447 5000 10000 12500
5.691 1880.2 2109.81 5009.01 242.839 403.081 930.083 9.85915 29.012 -15.1474 5000 10000 12500
5.692 1880.44 2110.21 5009.94 242.849 403.11 930.068 9.85963 29.015 -15.1501 5000 10000 12500
5.693 1880.68 2110.61 5010.87 242.859 403.139 930.053 9.86011 29.0181 -15.1528 5000 10000 12500
5.694 1880.93 2111.02 5011.8 242.869 403.168 930.038 9.86058 29.0211 -15.1555 5000 10000 12500
5.695 1881.17 2111.42 5012.73 242.879 403.197 930.023 9.86106 29.0242 -15.1582 5000 10000 12500
5.696 1881.41 2111.82 5013.66 242.889 403.226 930.007 9.86154 29.0272 -15.1609 5000 10000 12500
5.697 1881.65 2112.23 5014.59 242.898 403.255 929.992 9.86202 29.0302 -15.1636 5000 10000 12500
5.698 1881.9 2112.63 5015.52 242.908 403.284 929.977 9.86249 29.0333 -15.1663 5000 10000 12500
5.699 1882.14 2113.03 5016.45 242.918 403.313 929.962 9.86297 29.0363 -15.169 5000 10000 12500
5.7 1882.38 2113.44 5017.38 242.928 403.342 929.947 9.86344 29.0393 -15.1717 5000 10000 12500
5.701 1882.63 2113.84 5018.31 242.938 403.371 929.932 9.86391 29.0424 -15.1744 5000 10000 12500
5.702 1882.87 2114.24 5019.24 242.948 403.401 929.916 9.86439 29.0454 -15.1771 5000 10000 12500
5.703 1883.11 2114.65 5020.17 242.958 403.43 929.901 9.86486 29.0484 -15.1798 5000 10000 12500
5.704 1883.35 2115.05 5021.1 242.968 403.459 929.886 9.86533 29.0514 -15.1825 5000 10000 12500
5.705 1883.6 2115.45 5022.03 242.977 403.488 929.871 9.8658 29.0545 -15.1852 5000 10000 12500
5.706 1883.84 2115.86 5022.96 242.987 403.517 929.856 9.86627 29.0575 -15.1879 5000 10000 12500
5.707 1884.08 2116.26 5023.89 242.997 403.546 929.84 9.86674 29.0605 -15.1906 5000 10000 12500
5.708 1884.33 2116.66 5024.82 243.007 403.575 929.825 9.86721 29.0636 -15.1933 5000 10000 12500
5.709 1884.57 2117.07 5025.75 243.017 403.604 929.81 9.86767 29.0666 -15.196 5000 10000 12500
5.71 1884.81 2117.47 5026.68 243.027 403.633 929.795 9.86814 29.0696 -15.1987 5000 10000 12500
5.711 1885.06 2117.87 5027.61 243.037 403.662 929.78 9.86861 29.0726 -15.2014 5000 10000 12500
5.712 1885.3 2118.28 5028.54 243.046 403.691 929.764 9.86907 29.0757 -15.2041 5000 10000 12500
5.713 1885.54 2118.68 5029.47 243.056 403.72 929.749 9.86954 29.0787 -15.2068 5000 10000 12500
5.714 1885.78 2119.09 5030.4 243.066 403.749 929.734 9.87 29.0817 -15.2095 5000 10000 12500
5.715 1886.03 2119.49 5031.33 243.076 403.778 929.719 9.87047 29.0847 -15.2122 5000 10000 12500
5.716 1886.27 2119.89 5032.26 243.086 403.807 929.704 9.87093 29.0878 -15.2149 5000 10000 12500
5.717 1886.51 2120.3 5033.19 243.096 403.837 929.688 9.87139 29.0908 -15.2176 5000 10000 12500
5.718 1886.76 2120.7 5034.12 243.106 403.866 929.673 9.87185 29.0938 -15.2203 5000 10000 12500
5.719 1887 2121.1 5035.05 243.116 403.895 929.658 9.87231 29.0968 -15.223 5000 10000 12500
5.72 1887.24 2121.51 5035.98 243.125 403.924 929.643 9.87277 29.0998 -15.2257 5000 10000 12500
5.721 1887.49 2121.91 5036.91 243.135 403.953 929.627 9.87323 29.1029 -15.2284 5000 10000 12500
5.722 1887.73 2122.32 5037.83 243.145 403.982 929.612 9.87369 29.1059 -15.2311 5000 10000 12500
5.723 1887.97 2122.72 5038.76 243.155 404.011 929.597 9.87415 29.1089 -15.2338 5000 10000 12500
5.724 1888.22 2123.12 5039.69 243.165 404.04 929.582 9.87461 29.1119 -15.2365 5000 10000 12500
5.725 1888.46 2123.53 5040.62 243.175 404.069 929.567 9.87506 29.1149 -15.2392 5000 10000 12500
5.726 1888.7 2123.93 5041.55 243.185 404.098 929.551 9.87552 29.1179 -15.2419 5000 10000 12500
5.727 1888.95 2124.34 5042.48 243.195 404.128 929.536 9.87597 29.121 -15.2446 5000 10000 12500
5.728 1889.19 2124.74 5043.41 243.204 404.157 929.521 9.87643 29.124 -15.2473 5000 10000 12500
5.729 1889.43 2125.14 5044.34 243.214 404.186 929.506 9.87688 29.127 -15.2499 5000 10000 12500
5.73 1889.67 2125.55 5045.27 243.224 404.215 929.49 9.87734 29.13 -15.2526 5000 10000 12500
5.731 1889.92 2125.95 5046.2 243.234 404.244 929.475 9.87779 29.133 -15.2553 5000 10000 12500
5.732 1890.16 2126.36 5047.13 243.244 404.273 929.46 9.87824 29.136 -15.258 5000 10000 12500
5.733 1890.4 2126.76 5048.06 243.254 404.302 929.445 9.87869 29.139 -15.2607 5000 10000 12500
5.734 1890.65 2127.17 5048.99 243.264 404.332 929.429 9.87914 29.142 -15.2634 5000 10000 12500
5.735 1890.89 2127.57 5049.92 243.274 404.361 929.414 9.87959 29.1451 -15.2661 5000 10000 12500
5.736 1891.13 2127.97 5050.85 243.283 404.39 929.399 9.88004 29.1481 -15.2688 5000 10000 12500
5.737 1891.38 2128.38 5051.78 243.293 404.419 929.383 9.88049 29.1511 -15.2715 5000 10000 12500
5.738 1891.62 2128.78 5052.71 243.303 404.448 929.368 9.88094 29.1541 -15.2742 5000 10000 12500
5.739 1891.86 2129.19 5053.64 243.313 404.477 929.353 9.88138 29.1571 -15.2769 5000 10000 12500
5.74 1892.11 2129.59 5054.57 243.323 404.506 929.338 9.88183 29.1601 -15.2796 5000 10000 12500
5.741 1892.35 2130 5055.49 243.333 404.536 929.322 9.88228 29.1631 -15.2823 5000 10000 12500
5.742 1892.59 2130.4 5056.42 243.343 404.565 929.307 9.88272 29.1661 -15.285 5000 10000 12500
5.743 1892.84 2130.81 5057.35 243.353 404.594 929.292 9.88316 29.1691 -15.2877 5000 10000 12500
5.744 1893.08 2131.21 5058.28 243.362 404.623 929.277 9.88361 29.1721 -15.2904 5000 10000 12500
5.745 1893.32 2131.62 5059.21 243.372 404.652 929.261 9.88405 29.1751 -15.2931 5000 10000 12500
5.746 1893.57 2132.02 5060.14 243.382 404.681 929.246 9.88449 29.1781 -15.2958 5000 10000 12500
5.747 1893.81 2132.42 5061.07 243.392 404.711 929.231 9.88494 29.1811 -15.2985 5000 10000 12500
5.748 1894.05 2132.83 5062 243.402 404.74 929.215 9.88538 29.1841 -15.3012 5000 10000 12500
5.749 1894.3 2133.23 5062.93 243.412 404.769 929.2 9.88582 29.1871 -15.3039 5000 10000 12500
5.75 1894.54 2133.64 5063.86 243.422 404.798 929.185 9.88626 29.1901 -15.3066 5000 10000 12500
5.751 1894.78 2134.04 5064.79 243.432 404.827 929.169 9.8867 29.1931 -15.3093 5000 10000 12500
5.752 1895.03 2134.45 5065.72 243.442 404.857 929.154 9.88713 29.1961 -15.312 5000 10000 12500
5.753 1895.27 2134.85 5066.65 243.451 404.886 929.139 9.88757 29.1991 -15.3147 5000 10000 12500
5.754 1895.52 2135.26 5067.57 243.461 404.915 929.123 9.88801 29.2021 -15.3174 5000 10000 12500
5.755 1895.76 2135.66 5068.5 243.471 404.944 929.108 9.88844 29.2051 -15.3201 5000 10000 12500
5.756 1896 2136.07 5069.43 243.481 404.973 929.093 9.88888 29.2081 -15.3228 5000 10000 12500
5.757 1896.25 2136.47 5070.36 243.491 405.003 929.078 9.88931 29.2111 -15.3255 5000 10000 12500
5.758 1896.49 2136.88 5071.29 243.501 405.032 929.062 9.88975 29.2141 -15.3282 5000 10000 12500
5.759 1896.73 2137.28 5072.22 243.511 405.061 929.047 9.89018 29.2171 -15.3309 5000 10000 12500
5.76 1896.98 2137.69 5073.15 243.521 405.09 929.032 9.89062 29.2201 -15.3335 5000 10000 12500
5.761 1897.22 2138.09 5074.08 243.531 405.119 929.016 9.89105 29.2231 -15.3362 5000 10000 12500
5.762 1897.46 2138.5 5075.01 243.54 405.149 929.001 9.89148 29.2261 -15.3389 5000 10000 12500
5.763 1897.71 2138.9 5075.94 243.55 405.178 928.986 9.89191 29.2291 -15.3416 5000 10000 12500
5.764 1897.95 2139.31 5076.87 243.56 405.207 928.97 9.89234 29.2321 -15.3443 5000 10000 12500
5.765 1898.19 2139.71 5077.79 243.57 405.236 928.955 9.89277 29.2351 -15.347 5000 10000 12500
5.766 1898.44 2140.12 5078.72 243.58 405.266 928.939 9.8932 29.2381 -15.3497 5000 10000 12500
5.767 1898.68 2140.53 5079.65 243.59 405.295 928.924 9.89363 29.2411 -15.3524 5000 10000 12500
5.768 1898.92 2140.93 5080.58 243.6 405.324 928.909 9.89406 29.2441 -15.3551 5000 10000 12500
5.769 1899.17 2141.34 5081.51 243.61 405.353 928.893 9.89448 29.247 -15.3578 5000 10000 12500
5.77 1899.41 2141.74 5082.44 243.62 405.383 928.878 9.89491 29.25 -15.3605 5000 10000 12500
5.771 1899.66 2142.15 5083.37 243.63 405.412 928.863 9.89534 29.253 -15.3632 5000 10000 12500
5.772 1899.9 2142.55 5084.3 243.639 405.441 928.847 9.89576 29.256 -15.3659 5000 10000 12500
5.773 1900.14 2142.96 5085.23 243.649 405.47 928.832 9.89618 29.259 -15.3686 5000 10000 12500
5.774 1900.39 2143.36 5086.15 243.659 405.5 928.817 9.89661 29.262 -15.3713 5000 10000 12500
5.775 1900.63 2143.77 5087.08 243.669 405.529 928.801 9.89703 29.265 -15.374 5000 10000 12500
5.776 1900.87 2144.17 5088.01 243.679 405.558 928.786 9.89745 29.268 -15.3767 5000 10000 12500
5.777 1901.12 2144.58 5088.94 243.689 405.587 928.77 9.89788 29.2709 -15.3794 5000 10000 12500
