TOF EAST NORTH UP EAST_V NORTH_V UP_V EAST_A NORTH_A UP_A tgtE tgtN tgtU
0.06 59.4834 11.1546 15.738 982.084 201.971 284.989 -333.947 539.518 768.442 5000 10000 12500
0.061 60.4653 11.3569 16.0234 981.75 202.51 285.757 -335.158 539.683 769.009 5000 10000 12500
0.062 61.4469 11.5597 16.3095 981.414 203.05 286.527 -336.371 539.845 769.574 5000 10000 12500
0.063 62.4282 11.763 16.5965 981.077 203.59 287.297 -337.585 540.004 770.136 5000 10000 12500
0.064 63.4091 11.9668 16.8841 980.739 204.13 288.067 -338.8 540.16 770.694 5000 10000 12500
0.065 64.3896 12.1712 17.1726 980.399 204.67 288.838 -340.017 540.313 771.25 5000 10000 12500
0.066 65.3699 12.3762 17.4618 980.059 205.211 289.61 -341.235 540.462 771.803 5000 10000 12500
0.067 66.3498 12.5817 17.7518 979.717 205.751 290.382 -342.454 540.609 772.353 5000 10000 12500
0.068 67.3293 12.7877 18.0426 979.374 206.292 291.154 -343.675 540.753 772.901 5000 10000 12500
0.069 68.3085 12.9942 18.3341 979.029 206.833 291.927 -344.897 540.894 773.445 5000 10000 12500
0.07 69.2874 13.2013 18.6264 978.684 207.374 292.701 -346.12 541.032 773.986 5000 10000 12500
0.071 70.2659 13.409 18.9195 978.337 207.915 293.475 -347.345 541.166 774.525 5000 10000 12500
0.072 71.244 13.6172 19.2134 977.989 208.456 294.25 -348.571 541.298 775.06 5000 10000 12500
0.073 72.2219 13.8259 19.508 977.64 208.997 295.025 -349.798 541.427 775.593 5000 10000 12500
0.074 73.1993 14.0352 19.8034 977.29 209.539 295.801 -351.026 541.552 776.122 5000 10000 12500
0.075 74.1764 14.245 20.0996 976.938 210.081 296.578 -352.256 541.674 776.649 5000 10000 12500
0.076 75.1532 14.4553 20.3966 976.585 210.622 297.355 -353.487 541.794 777.173 5000 10000 12500
0.077 76.1296 14.6662 20.6943 976.231 211.164 298.132 -354.718 541.91 777.693 5000 10000 12500
0.078 77.1057 14.8777 20.9929 975.876 211.706 298.91 -355.952 542.023 778.211 5000 10000 12500
0.079 78.0814 15.0896 21.2922 975.519 212.248 299.688 -357.186 542.133 778.725 5000 10000 12500
0.08 79.0567 15.3022 21.5922 975.161 212.79 300.467 -358.421 542.239 779.236 5000 10000 12500
0.081 80.0317 15.5152 21.8931 974.802 213.333 301.247 -359.658 542.343 779.745 5000 10000 12500
0.082 81.0063 15.7288 22.1947 974.442 213.875 302.027 -360.895 542.443 780.25 5000 10000 12500
0.083 81.9806 15.943 22.4971 974.08 214.418 302.807 -362.134 542.54 780.752 5000 10000 12500
0.084 82.9545 16.1577 22.8003 973.718 214.96 303.588 -363.374 542.634 781.251 5000 10000 12500
0.085 83.928 16.3729 23.1043 973.354 215.503 304.37 -364.615 542.725 781.747 5000 10000 12500
0.086 84.9012 16.5887 23.4091 972.988 216.046 305.152 -365.857 542.813 782.24 5000 10000 12500
0.087 85.874 16.805 23.7146 972.622 216.588 305.934 -367.1 542.897 782.73 5000 10000 12500
0.088 86.8464 17.0218 24.021 972.254 217.131 306.717 -368.344 542.978 783.216 5000 10000 12500
0.089 87.8185 17.2392 24.3281 971.885 217.674 307.501 -369.589 543.056 783.7 5000 10000 12500
0.09 88.7902 17.4572 24.636 971.515 218.217 308.285 -370.834 543.131 784.18 5000 10000 12500
0.091 89.7615 17.6757 24.9446 971.144 218.761 309.069 -372.081 543.202 784.657 5000 10000 12500
0.092 90.7325 17.8947 25.2541 970.771 219.304 309.854 -373.329 543.27 785.131 5000 10000 12500
0.093 91.7031 18.1143 25.5643 970.397 219.847 310.639 -374.578 543.335 785.601 5000 10000 12500
0.094 92.6733 18.3344 25.8754 970.022 220.391 311.425 -375.828 543.397 786.069 5000 10000 12500
0.095 93.6431 18.5551 26.1872 969.645 220.934 312.212 -377.078 543.455 786.533 5000 10000 12500
0.096 94.6126 18.7763 26.4998 969.268 221.477 312.998 -378.33 543.51 786.994 5000 10000 12500
0.097 95.5816 18.998 26.8132 968.889 222.021 313.786 -379.582 543.561 787.451 5000 10000 12500
0.098 96.5503 19.2203 27.1274 968.508 222.565 314.573 -380.835 543.61 787.906 5000 10000 12500
0.099 97.5186 19.4431 27.4423 968.127 223.108 315.361 -382.089 543.655 788.357 5000 10000 12500
0.1 98.4866 19.6665 27.7581 967.744 223.652 316.15 -383.344 543.697 788.804 5000 10000 12500
0.101 99.4541 19.8904 28.0746 967.36 224.196 316.939 -384.6 543.735 789.249 5000 10000 12500
0.102 100.421 20.1149 28.392 966.975 224.739 317.728 -385.856 543.77 789.69 5000 10000 12500
0.103 101.388 20.3399 28.7101 966.589 225.283 318.518 -387.114 543.802 790.128 5000 10000 12500
0.104 102.354 20.5655 29.029 966.201 225.827 319.309 -388.371 543.83 790.562 5000 10000 12500
0.105 103.32 20.7916 29.3487 965.812 226.371 320.1 -389.63 543.855 790.993 5000 10000 12500
0.106 104.286 21.0182 29.6692 965.422 226.915 320.891 -390.89 543.876 791.421 5000 10000 12500
0.107 105.251 21.2454 29.9905 965.03 227.459 321.682 -392.15 543.894 791.845 5000 10000 12500
0.108 106.216 21.4731 30.3126 964.637 228.002 322.474 -393.41 543.909 792.266 5000 10000 12500
0.109 107.181 21.7014 30.6354 964.243 228.546 323.267 -394.672 543.921 792.684 5000 10000 12500
0.11 108.145 21.9302 30.9591 963.848 229.09 324.06 -395.934 543.928 793.098 5000 10000 12500
0.111 109.108 22.1596 31.2836 963.451 229.634 324.853 -397.196 543.933 793.509 5000 10000 12500
0.112 110.072 22.3895 31.6088 963.054 230.178 325.647 -398.46 543.934 793.916 5000 10000 12500
0.113 111.034 22.62 31.9349 962.654 230.722 326.441 -399.724 543.932 794.32 5000 10000 12500
0.114 111.997 22.8509 32.2617 962.254 231.266 327.235 -400.988 543.926 794.721 5000 10000 12500
0.115 112.959 23.0825 32.5893 961.852 231.81 328.03 -402.253 543.917 795.118 5000 10000 12500
0.116 113.921 23.3146 32.9178 961.45 232.354 328.826 -403.518 543.904 795.511 5000 10000 12500
0.117 114.882 23.5472 33.247 961.045 232.898 329.621 -404.784 543.888 795.901 5000 10000 12500
0.118 115.843 23.7804 33.577 960.64 233.442 330.417 -406.051 543.868 796.288 5000 10000 12500
0.119 116.803 24.0141 33.9078 960.233 233.985 331.214 -407.318 543.845 796.671 5000 10000 12500
0.12 117.763 24.2483 34.2394 959.825 234.529 332.011 -408.585 543.818 797.05 5000 10000 12500
0.121 118.723 24.4831 34.5718 959.416 235.073 332.808 -409.853 543.788 797.426 5000 10000 12500
0.122 119.682 24.7185 34.905 959.006 235.617 333.606 -411.122 543.754 797.799 5000 10000 12500
0.123 120.641 24.9544 35.239 958.594 236.161 334.404 -412.39 543.717 798.168 5000 10000 12500
0.124 121.599 25.1908 35.5738 958.181 236.704 335.202 -413.659 543.676 798.533 5000 10000 12500
0.125 122.557 25.4278 35.9095 957.767 237.248 336.001 -414.929 543.632 798.895 5000 10000 12500
0.126 123.515 25.6653 36.2459 957.351 237.792 336.8 -416.198 543.585 799.253 5000 10000 12500
