tof posE posN posU tgtE tgtN tgtU normComm normAch pitchRate thetaRate pitchDefl alpha theta sideComm sideAch yawRate psiRate yawDefl beta psi rollComm phiRate rollRate rollDefl roll seekPitchErr seekYawErr staticMargin mach
0.0130000000 0.0121817182 0.0021479656 0.0094869310 4000.0000000000 0.0000000000 3000.0000000000 0.0000026548 -0.7660216281 -0.0000232917 -0.0000232917 0.0000000000 3.6103979100 39.9999999119 -0.0000241443 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 -0.0000000026 -0.0000001950 1.0723315594 0.0043104732
0.0140000000 0.0134843937 0.0023776624 0.0104595719 4000.0000000000 0.0000000000 3000.0000000000 0.0000032649 -0.7660182698 -0.0000279355 -0.0000279355 0.0000000000 3.6727549698 39.9999998862 -0.0000269896 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 -0.0000000015 -0.0000002164 1.0695921553 0.0045574418
0.0150000000 0.0148654793 0.0026211851 0.0114892150 4000.0000000000 0.0000000000 3000.0000000000 0.0000038982 -0.7660145718 -0.0000331832 -0.0000331832 0.0000000000 3.7136819851 39.9999998557 -0.0000302485 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 -0.0000000004 -0.0000002392 1.0677018188 0.0048247884
0.0160000000 0.0163302191 0.0028794582 0.0125803287 4000.0000000000 0.0000000000 3000.0000000000 0.0000045532 -0.7660105085 -0.0000391091 -0.0000391091 0.0000000000 3.7361241331 39.9999998195 -0.0000339634 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000009 -0.0000002633 1.0665464129 0.0051125161
0.0170000000 0.0178838594 0.0031534069 0.0137373830 4000.0000000000 0.0000000000 3000.0000000000 0.0000052271 -0.7660060546 -0.0000457941 -0.0000457941 0.0000000000 3.7428092230 39.9999997771 -0.0000381802 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000023 -0.0000002888 1.0660209169 0.0054206297
0.0180000000 0.0195316485 0.0034439566 0.0149648498 4000.0000000000 0.0000000000 3000.0000000000 0.0000059163 -0.7660011848 -0.0000533262 -0.0000533262 0.0000000000 3.7362115836 39.9999997275 -0.0000429481 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000038 -0.0000003158 1.0660304245 0.0057491357
0.0190000000 0.0212788368 0.0037520330 0.0162672027 4000.0000000000 0.0000000000 3000.0000000000 0.0000066158 -0.7659958743 -0.0000618007 -0.0000618007 0.0000000000 3.7185385790 39.9999996700 -0.0000483193 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000053 -0.0000003445 1.0664903916 0.0060980417
0.0200000000 0.0231306769 0.0040785624 0.0176489172 4000.0000000000 0.0000000000 3000.0000000000 0.0000073197 -0.7659900988 -0.0000713210 -0.0000713210 0.0000000000 3.6917329971 39.9999996034 -0.0000543495 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000070 -0.0000003749 1.0673263730 0.0064673565
0.0210000000 0.0250924234 0.0044244713 0.0191144706 4000.0000000000 0.0000000000 3000.0000000000 0.0000080209 -0.7659838340 -0.0000819982 -0.0000819982 0.0000000000 3.6574858360 39.9999995267 -0.0000610978 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000087 -0.0000004071 1.0684734352 0.0068570891
0.0220000000 0.0271693331 0.0047906865 0.0206683420 4000.0000000000 0.0000000000 3000.0000000000 0.0000087113 -0.7659770561 -0.0000939519 -0.0000939519 0.0000000000 3.6172552861 39.9999994388 -0.0000686263 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000104 -0.0000004412 1.0698753848 0.0072672496
